"","participant_id","room_type","area","place_id","environment","type","beta_room_type","case","mean","median","q5","q25","q75","q95","sd"
"1","auditor","office","Revere","CH","indoor","concent","R-office","off",4064.06145105434,3358.15,689.50131,2478.3835,5666.56683333334,8361.4419,2327.03987236028
"2","auditor","office","Revere","CH","indoor","concent","R-office","on",3215.85201874792,2767.1415,793.890115,2089.5625,4363.69975,7100.79365,1882.2395200018
"3","auditor","office","Revere","CH","indoor","concent","R-office","redu",20.8709794997406,17.5992287420157,-15.1397544117791,15.6884921159296,22.9921771268853,15.0769241128136,19.1144276315012
"4","auditor","office","Revere","CH","outdoor","concent","R-office","off",11252.4837320303,8968.633,1417.2631,5831.7835,14774.21,27307.676,8562.49175778057
"5","auditor","office","Revere","CH","outdoor","concent","R-office","on",12953.2417771739,10439.15,3590.843,5975.63775,17932.115,29356.5475,9051.73869923337
"6","auditor","office","Revere","CH","outdoor","concent","R-office","redu",-15.1145123658561,-16.3962222559447,-153.364601110408,-2.46672823159502,-21.3744423559703,-7.50291419892343,-5.71383839299154
"7","auditor","office","Revere","CH","ratio","concent","R-office","off",0.397179738512818,0.3748602,0.221368752704997,0.315732175,0.452032052529371,0.647856965,0.140890798225258
"8","auditor","office","Revere","CH","ratio","concent","R-office","on",0.224348482936803,0.2159128,0.14058212,0.1860937,0.2535055,0.3336205,0.0649141219838489
"9","auditor","office","Revere","CH","ratio","concent","R-office","redu",43.5146204142127,42.4017807171847,36.4941445971176,41.0596338494802,43.9186892651758,48.5039880677983,53.9259321392563
"10","business","office","Revere","RH","indoor","concent","R-office","off",3082.04533548779,2449.4,1589.59333333333,1857.53333333333,3576.33333333333,7072.84,1770.03346396149
"11","business","office","Revere","RH","indoor","concent","R-office","on",1305.75075969733,999.56,247.094333333333,547.6125,1298.87916666667,5513.62249999999,1571.11998474996
"12","business","office","Revere","RH","indoor","concent","R-office","redu",57.6336290494355,59.191638768678,84.455500148885,70.5193715680292,63.681261068133,22.0451402831113,11.2378372082493
"13","business","office","Revere","RH","outdoor","concent","R-office","off",9531.54564405266,8112,3036.62456140351,5989.68333333333,11660.1166666667,19805.42,5873.39022408812
"14","business","office","Revere","RH","outdoor","concent","R-office","on",15879.2335606553,15361.4285714286,11944.6066666666,13350.4666666667,18012.36,21650.0945454545,3052.78385983666
"15","business","office","Revere","RH","outdoor","concent","R-office","redu",-66.5966271751887,-89.3667230205695,-293.35144747515,-122.891026515036,-54.4783857222694,-9.31398852159937,48.0234797388994
"16","business","office","Revere","RH","ratio","concent","R-office","off",0.392041648171813,0.345269801789507,0.119775153290991,0.212519206061736,0.50630217049482,0.77317569139594,0.25445531711929
"17","business","office","Revere","RH","ratio","concent","R-office","on",0.479013403622077,0.486078775722399,0.417592445118435,0.449404599429166,0.504738371831981,0.53870726202052,0.0369530500919448
"18","business","office","Revere","RH","ratio","concent","R-office","redu",-22.184315328699,-40.7823021889229,-248.646971967468,-111.465404824925,0.308866671717133,30.3253752005701,85.4775877705
"19","class120","classroom","Revere","RH","indoor","concent","R-classroom","off",5307.09707820981,5491.56666666667,2230.87166666666,3167.42083333334,6898.30833333333,8999.8425,2165.30092786743
"20","class120","classroom","Revere","RH","indoor","concent","R-classroom","on",3985.99108329824,3658.6,975.99725,1799.275,5481.82083333334,8442.58,2370.54069757474
"21","class120","classroom","Revere","RH","indoor","concent","R-classroom","redu",24.8931944421338,33.3778460305802,56.2504080990763,43.194318195272,20.5338386101906,6.19191391404902,-9.4785794928488
"22","class120","classroom","Revere","RH","outdoor","concent","R-classroom","off",NA,NA,NA,NA,NA,NA,NA
"23","class120","classroom","Revere","RH","outdoor","concent","R-classroom","on",16215.5157056704,9042.9,3298.21666666667,6125.46666666667,26284.3333333333,41858.5066666667,13078.859685622
"24","class120","classroom","Revere","RH","outdoor","concent","R-classroom","redu",NA,NA,NA,NA,NA,NA,NA
"25","class2","daycare","EastBoston","LF","indoor","concent","EB-daycare","off",8309.02279901483,6858.53333333333,1336.6336,3804.367,12274.07,18546.22,5553.95107184769
"26","class2","daycare","EastBoston","LF","indoor","concent","EB-daycare","on",2741.67090069606,2458.033,1428.8653,1788.7835,3366.2165,4828.5003,1274.58407480604
"27","class2","daycare","EastBoston","LF","indoor","concent","EB-daycare","redu",67.0036902411541,64.1609527790198,-6.90029788268077,52.9807849768437,72.574569804474,73.9650435506535,77.0508587793156
"28","class2","daycare","EastBoston","LF","outdoor","concent","EB-daycare","off",22893.8212762733,13976.85,3229.06666666666,8228.65816666666,26808.85,76398.975,22921.189264772
"29","class2","daycare","EastBoston","LF","outdoor","concent","EB-daycare","on",13205.1972572618,11377.26,4063.74175,7785.04175,15921.4175,29444.29,8241.78462520819
"30","class2","daycare","EastBoston","LF","outdoor","concent","EB-daycare","redu",42.3198202785507,18.5992551969864,-25.8488030597077,5.39111490210764,40.6113373009286,61.4598363394273,64.0429450234717
"31","class2","daycare","EastBoston","LF","ratio","concent","EB-daycare","off",0.544101915419811,0.4412764,0.147421317380205,0.26136429644327,0.7073818,1.29767005654605,0.390892083019899
"32","class2","daycare","EastBoston","LF","ratio","concent","EB-daycare","on",0.333194281595264,0.281274,0.1097205,0.19069605,0.40247785,0.73525644,0.227161062569986
"33","class2","daycare","EastBoston","LF","ratio","concent","EB-daycare","redu",38.7625236830526,36.2589977619469,25.5735181656078,27.0382173100712,43.1031657868495,43.3402630899106,41.8865020711044
"34","class210","classroom","Revere","RH","indoor","concent","R-classroom","off",5645.76330566334,4766.35,2051.29833333333,3558.075,6858.23333333333,9560.27666666666,4276.02797083304
"35","class210","classroom","Revere","RH","indoor","concent","R-classroom","on",4087.43147087461,3918.48333333333,1076.1185,2503.90833333334,5039.15,8075.945,2062.66868217545
"36","class210","classroom","Revere","RH","indoor","concent","R-classroom","redu",27.6017918290261,17.788594347177,47.5396395291111,29.6274436785808,26.5240805455243,15.5260325450833,51.7620395318975
"37","class210","classroom","Revere","RH","outdoor","concent","R-classroom","off",NA,NA,NA,NA,NA,NA,NA
"38","class210","classroom","Revere","RH","outdoor","concent","R-classroom","on",16342.2150220313,9436,3303.56666666667,6714.8,25188.7,40792.1,12577.0588092583
"39","class210","classroom","Revere","RH","outdoor","concent","R-classroom","redu",NA,NA,NA,NA,NA,NA,NA
"40","class4","daycare","EastBoston","LF","indoor","concent","EB-daycare","off",5816.03847318049,4608.4835,1298.13935,3183.592,8405.229,12404.1425,3623.9315488079
"41","class4","daycare","EastBoston","LF","indoor","concent","EB-daycare","on",2825.77037058243,2485.55,1185.4983,1805.604,3388.73325,5915.30065,1412.44884452659
"42","class4","daycare","EastBoston","LF","indoor","concent","EB-daycare","redu",51.4141733481835,46.0657719616442,8.67711544219039,43.2840640383567,59.6830348108303,52.311893788708,61.0244060765656
"43","class4","daycare","EastBoston","LF","outdoor","concent","EB-daycare","off",23417.335760753,14818.75,3310.375,8486.658,27785.3183333334,76705.675,22879.4892932717
"44","class4","daycare","EastBoston","LF","outdoor","concent","EB-daycare","on",13456.7196810319,11440.6,4066.687,7805.967,16179.13,30485.336,8650.86831940944
"45","class4","daycare","EastBoston","LF","outdoor","concent","EB-daycare","redu",42.535223398107,22.7964571910586,-22.8467167616962,8.02071910992525,41.7709388609368,60.2567398044539,62.1894168680004
"46","class4","daycare","EastBoston","LF","ratio","concent","EB-daycare","off",0.390675672113722,0.30467985,0.0989822695,0.1796629,0.489641925,1.0198631,0.298451886121724
"47","class4","daycare","EastBoston","LF","ratio","concent","EB-daycare","on",0.255089898947316,0.2221595,0.096311852,0.1589025,0.31212,0.5273688,0.142572065942713
"48","class4","daycare","EastBoston","LF","ratio","concent","EB-daycare","redu",34.7054559176487,27.0842820751028,2.69787459258042,11.555195869598,36.255458516956,48.290236209154,52.2294639194992
"49","classc11","classroom","Revere","RH","indoor","concent","R-classroom","off",3311.98016205425,3154.5,1780.38333333334,2525.125,3986.19166666666,5329.56666666667,1069.40254649503
"50","classc11","classroom","Revere","RH","indoor","concent","R-classroom","on",2387.81488891983,2417.41666666667,675.8735,1524.39166666667,3245.16666666667,4021.05833333334,1071.85953116894
"51","classc11","classroom","Revere","RH","indoor","concent","R-classroom","redu",27.9037079908478,23.3660907697996,62.0377540417326,39.6310413675891,18.5897985336882,24.5518710089,-0.229753022560213
"52","infant","daycare","EastBoston","SS","indoor","concent","EB-daycare","off",2930.59544983353,1789.675,449.933083333333,700.734583333333,3992.425,9334.80833333332,3149.93644357962
"53","infant","daycare","EastBoston","SS","indoor","concent","EB-daycare","on",1807.53388999509,1386.65,537.414583333334,815.415416666667,2382.925,4552.7575,1311.85091755225
"54","infant","daycare","EastBoston","SS","indoor","concent","EB-daycare","redu",38.321958082008,22.5194518557839,-19.4432246128453,-16.3658018400929,40.313844342724,51.2281630492324,58.3530988307354
"55","infant","daycare","EastBoston","SS","outdoor","concent","EB-daycare","off",30333.6926007939,23738.5628930817,3744.41666666667,6765.52327586207,46578.0083333333,82337.1833333333,25683.0178517464
"56","infant","daycare","EastBoston","SS","outdoor","concent","EB-daycare","on",15514.6389710306,6994.5,2585.8302631579,4258.35833333334,21686.0871212121,61461.865,19021.9569924414
"57","infant","daycare","EastBoston","SS","outdoor","concent","EB-daycare","redu",48.8534443359377,70.5352845852415,30.9417061894493,37.0579604902663,53.4413602101304,25.3534520956611,25.9356626147111
"58","infant","daycare","EastBoston","SS","ratio","concent","EB-daycare","off",0.121773737798702,0.0849238641265386,0.0230084782302147,0.0539698170495099,0.126261157948282,0.313408350308,0.193534810737462
"59","infant","daycare","EastBoston","SS","ratio","concent","EB-daycare","on",0.150500725528722,0.145983689231088,0.0385944638733428,0.093150687237093,0.195746574467091,0.287115029944725,0.0786308331107672
"60","infant","daycare","EastBoston","SS","ratio","concent","EB-daycare","redu",-23.5904623191471,-71.8994898931687,-67.7401846709737,-72.5977450537585,-55.0330898654287,8.38947664841594,59.3712196730163
"61","mainroom","office","Revere","CH","indoor","concent","R-office","off",2943.11376698351,2866.78333333333,1767.95,2099.25,3603.33333333333,4634.84583333334,1018.33254887572
"62","mainroom","office","Revere","CH","indoor","concent","R-office","on",1693.82755775556,1708.0415,1178.7795,1443.317,1874.646,2353.38765,429.608947543613
"63","mainroom","office","Revere","CH","indoor","concent","R-office","redu",42.4477715826932,40.4195817612074,33.325065754122,31.2460640705014,47.97467160037,49.2240360385954,57.812509477585
"64","mainroom","office","Revere","CH","outdoor","concent","R-office","off",13269.7084021707,12228.76,8063.84583333334,9891.97916666666,15714.6566666667,20342.9875,5054.89092514407
"65","mainroom","office","Revere","CH","outdoor","concent","R-office","on",15760.8157330317,14450.225,8429.578,11203.8225,20604.8225,24330.7165,5658.64808441049
"66","mainroom","office","Revere","CH","outdoor","concent","R-office","redu",-18.7728867535137,-18.1659056192124,-4.53545583863778,-13.2616871834294,-31.1185025359552,-19.6024748085796,-11.9440195289519
"67","mainroom","office","Revere","CH","ratio","concent","R-office","off",0.232159264639634,0.219889925348487,0.14257455,0.185863938708028,0.256426955887066,0.383586934733079,0.0789239565995171
"68","mainroom","office","Revere","CH","ratio","concent","R-office","on",0.119630794432889,0.10758335,0.068072141,0.0865427575,0.144258875,0.21513038,0.0507705120353699
"69","mainroom","office","Revere","CH","ratio","concent","R-office","redu",48.4703767396126,51.0739976697435,52.2550546363289,53.4375747648664,43.7427026729852,43.9161346437153,35.6716081873669
"70","preschool","daycare","EastBoston","SS","indoor","concent","EB-daycare","off",4570.33942425663,2774.5,850.933166666667,1254.53333333334,5240.8,14214.0333333333,5781.27525704512
"71","preschool","daycare","EastBoston","SS","indoor","concent","EB-daycare","on",2049.00944645838,1591.95,483.975995,909.927075,2939.25416666667,4902.605,1457.06074566753
"72","preschool","daycare","EastBoston","SS","indoor","concent","EB-daycare","redu",55.1672369106008,42.6220940710038,43.1240884762003,27.4688801944947,43.9159256856459,65.508699149432,74.7968972089343
"73","preschool","daycare","EastBoston","SS","outdoor","concent","EB-daycare","off",28060.3856281565,21649.0833333333,3746.21666666667,6617.85964912281,43383.0222222222,80048.1833333333,25039.2437047312
"74","preschool","daycare","EastBoston","SS","outdoor","concent","EB-daycare","on",15920.1469192977,7171.49166666666,2637.78333333333,4324.4,22274.8375,62568.8083333333,19282.1789305789
