"","deployment","room","participant_id","pm","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","total_pm","peak_width"
"1","MF","daycare","3","pm1",588,0,1125,7.709,-0.00212156439735293,1.77594459488693e-06,2684.012,TRUE,28404.807,1125
"2","MF","daycare","3","pm1",1102,801,1270,6.707,-0.00660496834602545,7.42899225843775e-07,1746.928,FALSE,67642.202,469
"3","MF","daycare","3","pm1",1926,1924,1970,8.559,-0.0446601492522071,5.10731640070933e-07,142.929,TRUE,28404.807,46
"4","MF","daycare","3","pm1",4100,3656,4584,85.789,-0.0100057607450737,3.83545258632898e-06,20613.724,FALSE,67642.202,928
"5","MF","daycare","3","pm1",6191,4826,6374,16.501,-0.0160945084644691,1.06360416040326e-06,5209.178,TRUE,28404.807,1548
"6","MF","daycare","3","pm1",6832,4778,7567,16.025,-0.00158500373272848,2.09567336394471e-06,9840.341,FALSE,67642.202,2789
"7","MF","daycare","3","pm1",6866,6580,7208,10.434,-0.00677784717234788,4.24224948684632e-06,2560.619,TRUE,28404.807,628
"8","MF","daycare","3","pm1",8059,8055,8428,10.843,-0.00589578011844231,3.25840492142884e-06,1268.711,TRUE,28404.807,373
"9","MF","daycare","3","pm1",8344,7869,8952,68.583,-0.00420244850239574,1.13124857125964e-06,29827.741,FALSE,67642.202,1083
"10","MF","daycare","3","pm1",9831,9182,9993,47.617,-0.0166523728404097,1.23720540737141e-06,7491.431,TRUE,28404.807,811
"11","MF","daycare","3","pm25",780,0,1120,11.832,-0.00693233426331808,3.27663851138419e-06,3877.486,TRUE,40616.336,1120
"12","MF","daycare","3","pm25",1031,786,1270,8.695,-0.00487590793155389,1.07208122488694e-06,2671.439,FALSE,78860.52,484
"13","MF","daycare","3","pm25",1926,1915,1976,9.57,-0.0371263747669572,1.74254461684071e-07,210.837,TRUE,40616.336,61
"14","MF","daycare","3","pm25",2187,2046,2314,43.054,-0.0365600617137219,5.60637524394614e-06,1808.864,TRUE,40616.336,268
"15","MF","daycare","3","pm25",2372,2328,2650,12.672,-0.00654800333611944,3.51799767266011e-06,1731.939,FALSE,78860.52,322
"16","MF","daycare","3","pm25",6191,4826,6411,44.58,-0.0188443604365868,3.01766393532459e-06,9869.322,TRUE,40616.336,1585
