"","room","pm","hepa","k_val_mean","k_val_min","k_val_q25","k_val_median","k_val_q75","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n"
"1","daycare","pm1",FALSE,-0.0131276521830066,-0.105792479437082,-0.0169772303935676,-0.00907999279363676,-0.00397110414178972,-0.00035695363926561,51.4677252006914,19.2955,5.1248,384.962,801.303571428571,500.5,70,5599,582655.660636523,56
"2","daycare","pm1",TRUE,-0.0151196512004749,-0.0623752498521272,-0.0210701344838961,-0.0142871141174727,-0.002723434360852,-0.00022804656958268,37.5519979086514,14.638,5.005,280.986,861.787234042553,625,46,5250,248877.78448853,47
"3","daycare","pm10",FALSE,-0.0258797758180313,-1.09174809835643,-0.0202412135980435,-0.00713926838071663,-0.00334744419526343,-0.00018767176624934,97.6515193982014,34.398,5.19977004254879,1513,472.944055944056,279,33,4989,1336983.24413502,143
"4","daycare","pm10",TRUE,-0.0458783619531185,-1.5016577061203,-0.0280497308738216,-0.014615006849126,-0.00425263719135694,-0.00021912468274905,61.7593202522976,23.799,5.2978,810.591,459.432989690722,255,32,2743,678506.707160631,97
"5","daycare","pm25",FALSE,-0.01200160358444,-0.100438791049477,-0.016824470275681,-0.00592745227962881,-0.00234167310343383,-0.00036558613948765,45.3088370774361,18.0105,5.24842494774413,459.043,849.216216216216,503.5,44,5166,795338.19469267,74
"6","daycare","pm25",TRUE,-0.0147266119979042,-0.0721481001192551,-0.0198968745169338,-0.0085208599582589,-0.00332792532947861,-0.00035336616646982,36.5341098394717,12.28715,5.087,458.266,760.303571428571,474.5,35,3839,319751.18273366,56
"7","office","pm1",FALSE,-0.00786336100057272,-0.0400297135901534,-0.0135732865633799,-0.00233548189415591,-0.00188539763792087,-0.00072534642352426,6.50017777777778,5.7797,5.125,14.0023,390.944444444444,253.5,32,1063,25396.02745,18
"8","office","pm1",TRUE,-0.0258053474073857,-0.0463948189853592,-0.0397331688090126,-0.0361057499321109,-0.00442130485236015,-0.00237169445808587,8.38889376850569,9.02628213972926,5.323,10.1356,664.4,396,156,1523,11905.2863958393,5
"9","office","pm10",FALSE,-0.0249040503578709,-0.309611504772223,-0.0267417222367337,-0.0171247480558105,-0.00354778099386509,-0.00015483131337762,9.67479028961503,7.7796,5.12,31.789,213.230769230769,100,32,1063,39583.9551573496,39
"10","office","pm10",TRUE,-0.0324785170444109,-0.133480533913759,-0.0349565149544896,-0.0272771441997108,-0.0102603474421259,-0.00144198891346593,8.49973063483975,8.08909473244698,5.34620016699763,12.1599374296672,326.6875,198,41,1445,16542.2736175597,16
"11","office","pm25",FALSE,-0.00742066275584037,-0.0379100717381361,-0.00959390678069543,-0.00230014047482276,-0.00158587919100823,-0.00081346017828263,6.65481099531032,6.17365,5.0021,14.882,337.85,177,32,1063,22775.2227283093,20
"12","office","pm25",TRUE,-0.0415478941240828,-0.143150100632119,-0.0439211143483405,-0.0262969033114323,-0.00752893073639344,-0.00247466625082288,8.54032017596968,8.67183712435862,5.7287,11.7418,559,352,72,1523,12688.1317387962,6
"13","residential","pm1",FALSE,-0.012027395766505,-0.278693498340084,-0.0147301770496181,-0.00773500432139737,-0.0037452043998693,-0.0001050708837115,36.7496223776224,18.371,5.076,299.527,340.277389277389,216,30,3998,1476967.075,429
"14","residential","pm1",TRUE,-0.0247847296667883,-0.20979135256332,-0.0321917293516991,-0.0194680940419326,-0.00892504689959503,-0.00022976863121151,43.0285,24.899,5.014,299.404,296.725714285714,155,31,3874,820218.859,350
"15","residential","pm10",FALSE,-0.0390027189561964,-2.31097574560162,-0.029145367160423,-0.0135255270444649,-0.00684665067628583,-0.00019880610474809,90.5747392290249,55.558,10.372,986.04,232.893424036281,165,30,2676,1810381.276,441
"16","residential","pm10",TRUE,-0.0575299335164943,-2.66144264232835,-0.0476355155008523,-0.0255173091602382,-0.0123397281308032,-0.000199027726775,86.0025769230769,51.929,7.946,663.112,181.712669683258,118,30,1855,1150939.782,442
"17","residential","pm25",FALSE,-0.0210974963983254,-2.96315958389203,-0.0160174311340656,-0.00881256573482707,-0.00469426448907585,-8.12564663131889e-05,40.8532618510158,21.679,5.977,299.527,285.602708803612,182,30,2197,1459699.306,443
"18","residential","pm25",TRUE,-0.0254438018343047,-0.185779069843306,-0.0317713888504338,-0.0202035435651373,-0.00927118298226768,-0.000199027726775,45.7447216494845,22.993,5.01,299.404,250.646907216495,150,30,3924,847875.346,388
