"","participant_id","environment","hepa","type","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","peak_wdh_mean","peak_wdh_median","total_plume_area"
"1","admin","indoor",FALSE,"pm1",-0.0016952976226219,-0.00138530799175986,5.18750469533236,3.26461517875037,1258.4,660,28192.081110172
"2","admin","indoor",TRUE,"pm1",-0.00191500641479855,-0.00191720464388657,3.88933728747396,3.50231504159506,1142.85714285714,1200,23152.5074313402
"3","admin","indoor",FALSE,"pm25",-0.00136992398746599,-0.00115642280180275,5.64533955360153,4.03369554842446,664,528,35654.1357106377
"4","admin","indoor",TRUE,"pm25",-0.00176642075344325,-0.00160923932989134,4.00590703738422,3.47200564563478,962.5,1050,25647.3403274663
"5","admin","indoor",FALSE,"pm10",-0.00298129507756181,-0.00277389939361716,10.583479063419,9.47116126435714,836,704,34524.6827723312
"6","admin","indoor",TRUE,"pm10",-0.00210955805916258,-0.00192070539179158,4.12723512365903,4.00720738886509,937.5,900,27891.2810832936
"7","class1","indoor",FALSE,"pm1",-0.00203335039022307,-0.0019811465217397,4.54342040104219,3.13408364255103,794.125,496.5,25436.0177132715
"8","class1","indoor",TRUE,"pm1",-0.00331671229143003,-0.00305967457187805,4.21464842926879,4.48150461011304,1170,1260,17430.6607527873
"9","class1","indoor",FALSE,"pm25",-0.00222812546881334,-0.00225523702011159,5.63818554581987,4.48954867585576,830,920,30340.1187101496
"10","class1","indoor",TRUE,"pm25",-0.00319507908459271,-0.00314627695217036,4.44364095479444,4.62208418417924,1170,1260,18481.5890478961
"11","class1","indoor",FALSE,"pm10",-0.00318118891367671,-0.00278714673053049,9.67290888975394,7.00891042703819,834.285714285714,880,34391.6560409483
"12","class1","indoor",TRUE,"pm10",-0.00322599757874969,-0.00312706274078863,4.53911801123521,4.68310255132693,1098,1170,18663.0785748333
"13","class3","indoor",FALSE,"pm1",-0.00122590912569916,-0.000233893775565548,4.38853429774773,3.11153400398347,595.428571428571,564,14527.2926022759
"14","class3","indoor",TRUE,"pm1",-0.00290168785750241,-0.00278174458466658,4.04391743222147,3.91799058001599,1242,1260,17283.844117022
"15","class3","indoor",FALSE,"pm25",-0.00274217506973009,-0.00336266576096073,6.58986323247004,5.24842494774413,639.2,612,14502.9692936623
"16","class3","indoor",TRUE,"pm25",-0.00252189093120697,-0.0025535401270421,4.27438258034843,4.03559818007692,1170,1260,18454.1760144442
"17","class3","indoor",FALSE,"pm10",-0.00554658662857244,-0.00565482023874152,12.6733555341427,12.7602669955121,663,680,20973.4737113037
"18","class3","indoor",TRUE,"pm10",-0.00270920675392653,-0.00233611635462948,4.14195389680774,3.8963790006095,639,495,21365.5430339935
