"","participant_id","environment","hepa","type","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","peak_wdh_mean","peak_wdh_median","total_plume_area"
"1","admin","indoor",FALSE,"pm1",-0.000991618922908515,-2.30693170849804e-05,5.68691930749579,3.90211017027308,2472,4048,138785.413805568
"2","admin","indoor",TRUE,"pm1",-0.00158342079141672,-0.00154892169443086,4.13167842893406,3.956031577771,1218.18181818182,1400,41899.146358961
"3","admin","indoor",FALSE,"pm25",-0.00123730688818797,-0.000945188421396031,5.65339154345785,4.06019998680695,751.384615384615,616,51272.2196426813
"4","admin","indoor",TRUE,"pm25",-0.00147193375393419,-0.00129500908760976,4.35610374431194,4.23746901108933,1108.33333333333,1200,47374.7555541534
"5","admin","indoor",FALSE,"pm10",-0.00245912819211466,-0.00254377815588029,9.77542136180679,8.18384614137096,935,880,52643.1860242556
"6","admin","indoor",TRUE,"pm10",-0.00162534615817239,-0.00163660703507065,4.64832644028787,4.62716897664126,1100,1200,56945.1399452224
"7","class1","indoor",FALSE,"pm1",-0.001105705556562,-0.000239497817342148,4.71922515977938,3.42007621719108,1633.28571428571,760,113884.394808744
"8","class1","indoor",TRUE,"pm1",-0.00246152246360421,-0.00209753919861484,4.41062590955913,4.7090474149178,1192.5,1260,29515.7504256517
"9","class1","indoor",FALSE,"pm25",-0.00185150088132779,-0.00207828309944651,6.19564921230914,5.27847932467456,898.461538461538,1040,58683.5937416302
"10","class1","indoor",TRUE,"pm25",-0.00239055732604323,-0.00213656091896995,4.66648607817091,4.96556342514323,1192.5,1260,31333.9977886248
"11","class1","indoor",FALSE,"pm10",-0.00258004817011808,-0.00255405281772365,8.93808466792072,7.00891042703819,843.636363636364,880,55356.3971404989
"12","class1","indoor",TRUE,"pm10",-0.00241099235206676,-0.00214902730024504,4.78008675942824,5.05436961148005,1158.75,1215,31966.0821795921
"13","class3","indoor",FALSE,"pm1",-0.000918587706293736,-0.000223032833451354,4.09565034703181,3.10259865833949,631.555555555556,564,19938.517358986
"14","class3","indoor",TRUE,"pm1",-0.00229734724855439,-0.00199247143725924,4.09187104831574,3.91799058001599,1247.14285714286,1260,25338.3459024374
"15","class3","indoor",FALSE,"pm25",-0.00274217506973009,-0.00336266576096073,6.58986323247004,5.24842494774413,639.2,612,14502.9692936623
"16","class3","indoor",TRUE,"pm25",-0.00202323940993815,-0.00197070146717596,4.2929803054186,4.04699475624544,1195.71428571429,1260,26928.5639978913
"17","class3","indoor",FALSE,"pm10",-0.00465145052857814,-0.00400594685373566,13.5940197542941,14.2918895295326,793.333333333333,1020,39068.6891553461
"18","class3","indoor",TRUE,"pm10",-0.00217921004227705,-0.00180363359243164,4.31992589335871,4.07681429842345,752.142857142857,990,36672.9847241967
