"","participant_id","environment","hepa","pm","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","peak_wdh_mean","peak_wdh_median","total_plume_area"
"1","10","indoor",FALSE,"pm1",-0.104076768195261,-0.0672455926502164,45.45278125,17,650.375,413.5,253487.98
"2","10","indoor",TRUE,"pm1",-0.620288491189026,-0.290764525790384,46.5041428571429,34.178,90.4285714285714,103,5852.205
"3","10","indoor",FALSE,"pm25",-0.0933515122902325,-0.0597207013225988,51.2906363636364,16.575,640.333333333333,352,279463.855
"4","10","indoor",TRUE,"pm25",-0.510947967200951,-0.219215785314338,53.18825,34.3615,125.625,112,8455.217
"5","10","indoor",FALSE,"pm10",-0.550111871273368,-0.0982898774475431,66.6299882352941,28.726,246.211764705882,117,448766.921
"6","10","indoor",TRUE,"pm10",-0.904909578681249,-0.884354713384844,35.3403404255319,15.339,50.8297872340426,13,31803.517
"7","11","indoor",FALSE,"pm1",-0.0806137883939114,-0.0676883756149629,25.8497727272727,14.4485,391,220.5,83301.202
"8","11","indoor",TRUE,"pm1",-0.11904843418204,-0.13374908726781,91.0144166666667,49.1275,901.833333333333,465.5,131134.855
"9","11","indoor",FALSE,"pm25",-0.0621266051218238,-0.0419690088516597,40.0655714285714,21.483,496.714285714286,300,116749.482
"10","11","indoor",TRUE,"pm25",-0.12009125557475,-0.103430580771409,91.467,48.69,804.538461538462,445,147302.192
"11","11","indoor",FALSE,"pm10",-0.553126057559924,-0.0312408598578168,68.272,59.673,98,104,10424.855
"12","11","indoor",TRUE,"pm10",-0.438915195946332,-0.122110796991846,184.863333333333,83.614,369.296296296296,172,357249.694
"13","2","indoor",FALSE,"pm1",-0.0919660909392522,-0.00703534551174516,62.863,10.627,1062.625,678.5,124418.979
"14","2","indoor",TRUE,"pm1",-0.049166838141465,-0.0156150803693811,37.31025,11.6035,1475.75,790.5,110754.041
"15","2","indoor",FALSE,"pm25",-0.119973490488015,-0.023035531262704,87.169375,16.865,1025.875,702,169078.343
"16","2","indoor",TRUE,"pm25",-0.116637362919151,-0.0186051864384905,57.5156153846154,24.814,1315.76923076923,865,137316.805
"17","2","indoor",FALSE,"pm10",-0.112718618955359,-0.0356413564866332,96.2466,37.822,520.8,298,254552.489
"18","2","indoor",TRUE,"pm10",-0.178190591141848,-0.074478838573103,121.570310344828,40.324,470.896551724138,337,208048.846
"19","3","indoor",FALSE,"pm1",-0.00580280307972864,-0.00363484529763974,21.78725,11.0725,1317.5,1006,62028.734
"20","3","indoor",TRUE,"pm1",-0.18593859854596,-0.0716364382234118,11.3454444444444,8.559,613.777777777778,628,22203.066
"21","3","indoor",FALSE,"pm25",-0.0287384747883339,-0.00496379092113531,10.6736,8.91,1076.4,925,72082.694
"22","3","indoor",TRUE,"pm25",-0.15434372189305,-0.0385160799494011,18.7946666666667,9.57,693,814,34017.267
"23","3","indoor",FALSE,"pm10",-0.195627455656599,-0.0743857446834846,27.278125,23.04,525,370.5,87716.365
"24","3","indoor",TRUE,"pm10",-0.190879507822808,-0.053763537311559,64.4575333333333,31.274,323.8,296,62035.908
"25","5","indoor",FALSE,"pm1",-0.109196054674076,-0.00395941463955952,21.5523333333333,11.014,2516.33333333333,1026,143533.179
"26","5","indoor",TRUE,"pm1",-0.049593050729462,-0.00639775459497879,14.0381666666667,5.9595,729.5,639,18468.236
"27","5","indoor",FALSE,"pm25",-0.0639486401051537,-0.00450661660102533,24.2353571428571,10.3825,1598.71428571429,717.5,159134.71
"28","5","indoor",TRUE,"pm25",-0.0646106039259749,-0.0529379462178316,19.06825,7.347,813.75,769.5,17867.654
"29","5","indoor",FALSE,"pm10",-0.149038509459589,-0.0194481333709964,35.5468333333333,22.5875,590.066666666667,157,169160.927
"30","5","indoor",TRUE,"pm10",-0.368653042018949,-0.123697550524452,22.763,17.002,226.692307692308,73,22992.645
"31","6","indoor",FALSE,"pm1",-0.321228294027234,-0.100465640469592,62.5319166666667,40.3515,1538.16666666667,982.5,196845.697
"32","6","indoor",TRUE,"pm1",-0.35367193577286,-0.0741770186979254,59.6664,27.9475,1503.3,474,128259.656
"33","6","indoor",FALSE,"pm25",-0.292190814320016,-0.0969954776545212,116.455428571429,66.3835,1229.71428571429,920.5,221609.525
"34","6","indoor",TRUE,"pm25",-0.352852662407182,-0.15933633539162,72.17875,32.897,1215,292.5,150783.91
"35","6","indoor",FALSE,"pm10",-0.314667512750849,-0.1182898771078,371.3197,131.5005,762.95,494.5,343436.358
"36","6","indoor",TRUE,"pm10",-0.210560777470605,-0.0632367947468358,162.609611111111,40.4915,777.611111111111,408.5,281536.845
"37","7","indoor",FALSE,"pm1",-0.112986831102549,-0.113769656850121,74.0573636363636,25.437,688.363636363636,408,193207.791
"38","7","indoor",TRUE,"pm1",-0.0442302937243261,-0.0266314937077416,41.4789090909091,33.845,579.909090909091,410,57964.612
"39","7","indoor",FALSE,"pm25",-0.0835732018089674,-0.0310978986732804,82.4711818181818,24.6,728.909090909091,407,210420.502
"40","7","indoor",TRUE,"pm25",-0.180843221050172,-0.0340735082785027,46.5471666666667,39.6615,548.916666666667,402.5,72533.377
"41","7","indoor",FALSE,"pm10",-0.0675877412017841,-0.0151091323893362,87.7437333333333,37.661,520.333333333333,315,245548.433
"42","7","indoor",TRUE,"pm10",-0.447152226707604,-0.256458628785373,99.2118823529412,44.83,382.823529411765,375,123226.557
"43","8","indoor",FALSE,"pm1",-0.320691642195101,-0.285941648615788,63.19725,13.354,178.625,186,21861.427
"44","8","indoor",TRUE,"pm1",-0.405438169644841,-0.384826584401264,25.093,17.142,98.3333333333333,88,1968.996
"45","8","indoor",FALSE,"pm25",-0.295341485497992,-0.0369964885865945,82.4803636363636,17.552,156,107,32276.171
"46","8","indoor",TRUE,"pm25",-0.158196978290811,-0.0951162511864409,29.0736,13.741,131.6,85,5058.476
"47","8","indoor",FALSE,"pm10",-0.524988806386286,-0.301945851320915,78.2203684210526,28.496,120.105263157895,91,51456.327
