"","participant_id","pm","environment","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"1","3","pm1","indoor",FALSE,-0.00559954533155585,-0.0054037084242106,-0.0100057607450737,-0.00158500373272848,44.276,42.304,469,2789,1317.25,1005.5,469,2789,62028.734,4,67642.202
"2","3","pm1","indoor",TRUE,-0.018255939123317,-0.0139272818961222,-0.0446601492522071,-0.00212156439735293,17.774875,10.6385,46,1548,605,500.5,46,1548,20716.648,8,28404.807
"3","3","pm25","indoor",FALSE,-0.00534853839577483,-0.00487590793155389,-0.009765394424142,-0.00136904943240817,40.6454,18.026,322,2562,1076.2,925,322,2562,72082.694,5,78860.52
"4","3","pm25","indoor",TRUE,-0.0167269581617825,-0.0120929301463318,-0.0371263747669572,-0.00486891083565365,26.17,22.2045,61,1585,756.5,814.5,61,1585,33544.228,8,40616.336
"5","3","pm10","indoor",FALSE,-0.0121890290512131,-0.00713926838071663,-0.0426574595978237,-0.00426970681885859,47.8061111111111,39.015,57,1084,476.444444444444,302,57,1084,88497.86,9,101912.338
"6","3","pm10","indoor",TRUE,-0.0207644563242475,-0.0220691720534929,-0.0498246863261445,-0.00219016051512481,64.0809333333333,39.786,58,1075,323.733333333333,296,58,1075,62035.908,15,75659.797
"7","2","pm1","indoor",FALSE,-0.000988753067678231,-0.000988753067678231,-0.00183622030524066,-0.000141285830115803,66.3525,66.3525,1840,5178,3509,3509,1840,5178,118403.008,2,137720.254
"8","2","pm1","indoor",TRUE,-0.00737681755656935,-0.00112482448580017,-0.0623752498521272,0.00155908340128775,13.4329,5.8465,89,5250,1614.4,1364.5,89,5250,100460.789,10,113088.468
"9","2","pm25","indoor",FALSE,-0.00448403554706619,-0.000722098676819888,-0.012364421824891,-0.000365586139487653,65.7523333333333,38.303,110,5166,2408.66666666667,1950,110,5166,163379.935,3,185816.982
"10","2","pm25","indoor",TRUE,-0.00722715837537341,-0.00118661798921425,-0.0475362533322192,0.00103873558868629,17.8033333333333,11.353,123,3839,1641.22222222222,1661,123,3839,123604.871,9,141354.741
"11","2","pm10","indoor",FALSE,-0.00589963571639788,-0.00349431776655519,-0.0188995585974762,0.000139368368313967,51.784375,16.686,52,3438,855.125,309,52,3438,246125.139,8,280718.952
"12","2","pm10","indoor",TRUE,-0.0104326846558518,-0.00495144289786555,-0.0580724158712482,0.00247881519493697,27.5613684210526,22.289,45,2248,559.263157894737,382,45,2248,172358.577,19,226250.483
"13","6","pm1","indoor",FALSE,-0.00360881385996399,-0.00156397605546077,-0.0118544790856265,-0.000108527582796236,39.0591428571429,20.646,389,6113,2505.42857142857,1135,389,6113,194322.705,7,202210.886
"14","6","pm1","indoor",TRUE,-0.00490299866171694,-0.000228046569582687,-0.0172926968832573,0.0001329785757144,21.1446,14.638,128,5944,2674.4,1932,128,5944,121102.433,5,131275.775
"15","6","pm25","indoor",FALSE,-0.00404469030003055,-0.00182659209475996,-0.0132738666565268,-0.000485173243747737,52.432,34.87,440,5175,2235.85714285714,2110,440,5175,215953.395,7,231562.745
"16","6","pm25","indoor",TRUE,-0.00440930288229926,-0.00370518294360098,-0.0149439965593607,0.000759503749304083,21.157,19.763,128,8233,2745.4,2091,128,8233,144570.767,5,155397.469
"17","6","pm10","indoor",FALSE,-0.0074075200232047,-0.00544352840453482,-0.0210414414853836,-0.000262406690933402,87.6354166666667,41.316,26,4687,1223.16666666667,792,26,4687,338733.375,12,363552.141
"18","6","pm10","indoor",TRUE,-0.0756477783041552,-0.0111126276756478,-0.797524444693584,-0.00041149546168497,99.1075384615385,36.13,32,2743,1076.46153846154,534,32,2743,281658.152,13,293021.935
"19","5","pm1","indoor",FALSE,-0.00698349462104695,-0.00295254745279278,-0.0253274535001068,-0.000356953639265618,27.0884444444444,19.013,154,10690,2516.33333333333,1026,154,10690,143533.179,9,162359.603
"20","5","pm1","indoor",TRUE,-0.00761353227724969,-0.00282764444004475,-0.0349963559975957,0.000102394924709422,13.8201666666667,5.648,65,1640,729.5,639,65,1640,18468.236,6,25027.628
"21","5","pm25","indoor",FALSE,-0.0125642455742161,-0.00395390558083826,-0.0704047070129631,-0.000173314454246372,31.0180769230769,20.005,44,10511,1671,771,44,10511,156719.838,13,180234.51
"22","5","pm25","indoor",TRUE,-0.00776411874000638,-0.0031262227604254,-0.0244506632727049,-0.00035336616646982,18.847,6.999,77,1640,814,769.5,77,1640,17867.654,4,28527.585
"23","5","pm10","indoor",FALSE,-0.0302861722544572,-0.0113989688124517,-0.285511474338108,-0.000187671766249346,36.0385161290323,23.17,12,4989,597.096774193548,158,12,4989,174164.918,31,217127.699
"24","5","pm10","indoor",TRUE,-0.945329056470767,-0.0445867854349869,-3.00525566780603,-0.000304839143283845,24.5695333333333,17.519,3,1330,196.2,55,3,1330,22887.381,15,37903.109
"25","7","pm1","indoor",FALSE,-0.0217492333499523,-0.0106232003481078,-0.105792479437082,-0.000572442018656818,99.0617272727273,27.079,136,2813,688.363636363636,408,136,2813,193207.791,11,200203.343
