"","x","y","r","case","participant_id","environment"
"1","pm1","pm25",0.953129063315723,"off","infant","indoor"
"2","pm1","pm10",0.307352510373778,"off","infant","indoor"
"3","pm1","concent",0.29252933212204,"off","infant","indoor"
"4","pm1","pm1num",0.494573891758221,"off","infant","indoor"
"5","pm25","pm10",0.481976283869918,"off","infant","indoor"
"6","pm25","concent",0.319356571506212,"off","infant","indoor"
"7","pm25","pm1num",0.585214054685137,"off","infant","indoor"
"8","pm10","concent",0.218347946503916,"off","infant","indoor"
"9","pm10","pm1num",0.369106305350205,"off","infant","indoor"
"10","concent","pm1num",0.222723025681499,"off","infant","indoor"
"11","pm1","pm25",0.972267796768385,"off","preschool","indoor"
"12","pm1","pm10",0.195922023377817,"off","preschool","indoor"
"13","pm1","concent",0.140231702373088,"off","preschool","indoor"
"14","pm1","pm1num",0.488531160175087,"off","preschool","indoor"
"15","pm25","pm10",0.283009085023569,"off","preschool","indoor"
"16","pm25","concent",0.154511778669588,"off","preschool","indoor"
"17","pm25","pm1num",0.546203492554106,"off","preschool","indoor"
"18","pm10","concent",0.080179304592142,"off","preschool","indoor"
"19","pm10","pm1num",0.0426026036689009,"off","preschool","indoor"
"20","concent","pm1num",0.100688093160828,"off","preschool","indoor"
"21","pm1","pm25",0.962821218986089,"off","all","indoor"
"22","pm1","pm10",0.247367835861136,"off","all","indoor"
"23","pm1","concent",0.162025587313429,"off","all","indoor"
"24","pm1","pm1num",0.24268789420504,"off","all","indoor"
"25","pm25","pm10",0.374783391518921,"off","all","indoor"
"26","pm25","concent",0.179086558723095,"off","all","indoor"
"27","pm25","pm1num",0.284877759287277,"off","all","indoor"
"28","pm10","concent",0.111481511282772,"off","all","indoor"
"29","pm10","pm1num",0.0761665162914929,"off","all","indoor"
"30","concent","pm1num",0.190925931287375,"off","all","indoor"
"31","pm1","pm25",0.988288202446504,"on","infant","indoor"
"32","pm1","pm10",0.802915822583683,"on","infant","indoor"
"33","pm1","concent",0.270217324631342,"on","infant","indoor"
"34","pm1","pm1num",0.660318684711418,"on","infant","indoor"
"35","pm25","pm10",0.835770899666327,"on","infant","indoor"
"36","pm25","concent",0.266401463702724,"on","infant","indoor"
"37","pm25","pm1num",0.715144655177192,"on","infant","indoor"
"38","pm10","concent",0.224029011949082,"on","infant","indoor"
"39","pm10","pm1num",0.622909094814765,"on","infant","indoor"
"40","concent","pm1num",0.471731020742239,"on","infant","indoor"
"41","pm1","pm25",0.98611311776298,"on","preschool","indoor"
"42","pm1","pm10",0.686128434972995,"on","preschool","indoor"
"43","pm1","concent",0.414941120205881,"on","preschool","indoor"
"44","pm1","pm1num",0.760214279748372,"on","preschool","indoor"
"45","pm25","pm10",0.746227018668452,"on","preschool","indoor"
"46","pm25","concent",0.453091176482276,"on","preschool","indoor"
"47","pm25","pm1num",0.813831821686426,"on","preschool","indoor"
"48","pm10","concent",0.475922295124075,"on","preschool","indoor"
"49","pm10","pm1num",0.629616036959916,"on","preschool","indoor"
"50","concent","pm1num",0.574570996891131,"on","preschool","indoor"
"51","pm1","pm25",0.986828597298741,"on","all","indoor"
"52","pm1","pm10",0.715004629152401,"on","all","indoor"
"53","pm1","concent",0.356613686116757,"on","all","indoor"
"54","pm1","pm1num",0.605194190327577,"on","all","indoor"
"55","pm25","pm10",0.767036839438797,"on","all","indoor"
"56","pm25","concent",0.379015519585883,"on","all","indoor"
"57","pm25","pm1num",0.653484212273513,"on","all","indoor"
"58","pm10","concent",0.389248046280996,"on","all","indoor"
"59","pm10","pm1num",0.557917901596194,"on","all","indoor"
"60","concent","pm1num",0.478749723488832,"on","all","indoor"
