"","deployment","room","participant_id","environment","pm","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"1","SS","daycare","front","indoor","pm1",9,1,52,2.9468,-0.0118763340389983,5.30608692896789e-06,112.2246,FALSE,51
"2","SS","daycare","front","indoor","pm1",59,56,61,1.671,-0.292912363999252,1.36728272827737e-06,6.3462,TRUE,5
"3","SS","daycare","front","indoor","pm1",282,270,310,2.6642,-0.0106299337965036,3.18108972833465e-07,75.928,TRUE,40
"4","SS","daycare","front","indoor","pm1",347,345,350,2.2586,-0.223806417180985,5.63524252590118e-06,9.2191,FALSE,5
"5","SS","daycare","front","indoor","pm1",539,531,564,4.4608,-0.0467755305345248,5.69410258708693e-06,82.0608,TRUE,33
"6","SS","daycare","front","indoor","pm1",776,774,778,1.579,-0.131444160298954,4.27179784681465e-06,6.3327,FALSE,4
"7","SS","daycare","front","indoor","pm1",948,946,951,1.6717,-0.212635815525202,8.27788753505676e-08,7.1576,TRUE,5
"8","SS","daycare","front","indoor","pm1",987,854,998,2.6239,-0.0281566203008007,5.34179264694815e-08,285.0888,FALSE,144
"9","SS","daycare","front","indoor","pm1",1188,1187,1191,2.1208,-0.187366265361949,1.56944747331793e-07,7.7248,FALSE,4
"10","SS","daycare","front","indoor","pm1",1197,1196,1200,1.6464,-0.253364338804015,1.38158590030587e-06,5.5564,TRUE,4
"11","SS","daycare","front","indoor","pm1",1436,1422,1568,4.7158,-0.00595737274509003,3.66860826869182e-06,356.9231,FALSE,146
"12","SS","daycare","front","indoor","pm1",1453,1434,1471,3.0171,-0.0256575135615005,9.01469353960564e-08,67.7988,TRUE,37
"13","SS","daycare","front","indoor","pm1",1682,1681,1688,2.3392,-0.101491624749542,4.41864140326956e-06,12.0332,TRUE,7
"14","SS","daycare","front","indoor","pm1",1707,1704,1710,2.0906,-0.501439526756622,4.02617281528288e-06,6.7001,FALSE,6
"15","SS","daycare","front","indoor","pm1",1947,1945,1949,1.9656,-0.566187121094277,9.18222628327998e-06,5.9269,TRUE,4
"16","SS","daycare","front","indoor","pm1",2084,2081,2086,2.5124,-0.674532884289647,1.50586331511565e-06,8.4889,FALSE,5
"17","SS","daycare","front","indoor","pm1",2227,2225,2230,1.3152,-0.333306056208683,5.27386440948405e-06,4.3504,TRUE,5
"18","SS","daycare","front","indoor","pm1",2794,2791,2797,1.1558,-0.22327360262074,8.3909688030649e-07,4.8191,TRUE,6
"19","SS","daycare","front","indoor","pm1",2890,2291,3034,5.1248,-0.00419022369161199,3.61147999875796e-06,1827.0481,FALSE,743
"20","SS","daycare","front","indoor","pm1",3076,3072,3107,2.2778,-0.0127510388841893,5.92733461679915e-07,60.3163,TRUE,35
"21","SS","daycare","front","indoor","pm1",3091,3089,3095,1.9109,-0.115786143421628,1.11260948566601e-07,10.844,FALSE,6
"22","SS","daycare","front","indoor","pm1",3291,3288,3301,3.4175,-0.0778362589119136,3.64780459094815e-06,32.3997,FALSE,13
"23","SS","daycare","front","indoor","pm1",3559,3554,3561,1.9015,-0.37751004371863,1.82663133575821e-06,9.5049,FALSE,7
"24","SS","daycare","front","indoor","pm1",3759,3750,3763,3.2227,-0.315102127159251,1.25470089990337e-06,26.481,FALSE,13
"25","SS","daycare","front","indoor","pm1",3985,3978,4000,2.3862,-0.0103490657073764,2.70415866004357e-07,40.2526,FALSE,22
"26","SS","daycare","front","indoor","pm1",4200,4195,4202,1.8284,-0.234468392395541,3.05135339956574e-06,11.2598,FALSE,7
"27","SS","daycare","front","indoor","pm1",4450,4449,4454,2.6056,-0.382090155205002,5.08085336459513e-06,7.5031,FALSE,5
"28","SS","daycare","front","indoor","pm1",4661,4660,4663,2.9115,-0.492178983236076,2.0463156892156e-07,6.8978,FALSE,3
"29","SS","daycare","front","indoor","pm1",4887,4877,4890,2.068,-0.196796151674158,8.27573734424025e-06,20.0011,TRUE,13
"30","SS","daycare","front","indoor","pm1",5023,5021,5025,2.323,-0.372198884169901,1.84212055898058e-06,7.3791,FALSE,4
"31","SS","daycare","front","indoor","pm1",5244,5241,5247,2.0122,-0.18364431324844,6.83572269205432e-07,10.3028,TRUE,6
"32","SS","daycare","front","indoor","pm1",5386,5384,5400,2.4017,-0.0196761992272059,3.68254103769931e-06,28.4471,FALSE,16
"33","SS","daycare","front","indoor","pm1",5480,5475,5488,2.3809,-0.0515730895060402,2.5794278905948e-06,21.8218,TRUE,13
"34","SS","daycare","front","indoor","pm1",5719,5716,5742,2.4943,-0.0121664684293017,3.67372901634799e-06,44.627,FALSE,26
"35","SS","daycare","front","indoor","pm1",5867,5860,5872,1.9442,-0.0921739577120383,9.35184129234834e-07,20.158,TRUE,12
"36","SS","daycare","front","indoor","pm1",6002,5985,6016,4.0714,-0.0516256343474746,4.79276185940358e-06,57.2973,FALSE,31
"37","SS","daycare","front","indoor","pm1",6213,6210,6215,1.5871,-0.269518912831407,7.16095113741788e-08,7.9967,FALSE,5
"38","SS","daycare","front","indoor","pm1",6457,6448,6478,3.3031,-0.0251868047824819,4.22381952034642e-06,72.6484,FALSE,30
"39","SS","daycare","front","indoor","pm1",6469,6117,6889,3.8775,-0.000786183642655183,9.86821633290112e-07,1723.5745,TRUE,772
"40","SS","daycare","front","indoor","pm1",6662,6659,6665,1.9298,-0.576484091438524,1.45213593316379e-06,5.889,FALSE,6
"41","SS","daycare","front","indoor","pm1",7063,7060,7065,1.3748,-0.407329086595939,6.58727851930995e-06,4.8783,FALSE,5
"42","SS","daycare","front","indoor","pm1",7105,7094,7108,1.9707,-0.23760892688224,7.00893482388276e-06,20.0431,TRUE,14
"43","SS","daycare","front","indoor","pm1",7284,7283,7287,1.8746,-0.365453528446958,5.44133304663512e-06,5.6264,FALSE,4
"44","SS","daycare","front","indoor","pm1",7426,7411,7453,2.0256,0.00132190121487506,3.12684771871606e-08,70.1109,TRUE,42
