"","participant_id","environment","hepa","pm","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","peak_wdh_mean","peak_wdh_median","total_plume_area","n"
"1","front","indoor",FALSE,"pm1",-0.225995504146885,-0.229137404788263,2.66319333333333,2.39395,52.3333333333333,7,3717.6208,30
"2","front","indoor",TRUE,"pm1",-0.111592730275091,-0.0467755305345248,2.6846,2.3392,208.470588235294,33,9229.8568,17
"3","front","indoor",FALSE,"pm25",-0.195070344130479,-0.154636933420222,3.53521034482759,2.7862,77.6206896551724,9,6538.7608,29
"4","front","indoor",TRUE,"pm25",-0.120024851409548,-0.015843780401685,3.6246625,2.9881,252.5625,28.5,11831.7633,16
"5","front","indoor",FALSE,"pm10",-0.460270061440618,-0.453658392430433,10.5195107142857,7.08245,44.5,5,8752.2998,28
"6","front","indoor",TRUE,"pm10",-0.405933918102673,-0.249035573947551,8.388,6.9315,91.9642857142857,9,13211.8003,28
"7","kitchen","indoor",FALSE,"pm1",-0.246712163635878,-0.243935097765623,2.419525,2.2402,47.5,6.5,2666.22,24
"8","kitchen","indoor",TRUE,"pm1",-0.140648012955348,-0.0293114411276193,2.63749047619048,2.2696,189.857142857143,23,10759.5991,21
"9","kitchen","indoor",FALSE,"pm25",-0.129965136090253,-0.116296224748835,3.31573913043478,2.6483,48.6086956521739,8,3114.9957,23
"10","kitchen","indoor",TRUE,"pm25",-0.107346189175747,-0.0114268509659647,3.29442727272727,2.8356,177.090909090909,41,11582.5887,22
"11","kitchen","indoor",FALSE,"pm10",-0.532090407262928,-0.590168108348031,8.96225,7.79955,23.55,5,2801.8987,20
"12","kitchen","indoor",TRUE,"pm10",-0.219973141702071,-0.131910406188834,10.560672,5.561,101.36,21,10912.1177,25
"13","toddler","indoor",FALSE,"pm1",-0.144411199127115,-0.151076445077993,1.97188125,1.84155,50.25,6,1674.3946,16
"14","toddler","indoor",TRUE,"pm1",-0.136646705544595,-0.0159498714047066,2.54434,2.3631,182.666666666667,16,6074.3916,15
"15","toddler","indoor",FALSE,"pm25",-0.181639459459584,-0.0636204046927129,3.51243571428571,2.2546,63.6428571428571,10.5,2479.4642,14
"16","toddler","indoor",TRUE,"pm25",-0.217922052977523,-0.0115037728962989,4.92612,3.1931,207,63,8149.1428,15
"17","toddler","indoor",FALSE,"pm10",-0.499207144398649,-0.357122413356392,15.8496428571429,6.2208,35.6666666666667,6,7132.1366,21
"18","toddler","indoor",TRUE,"pm10",-0.299150460853374,-0.309512142838945,18.8126703703704,5.0727,67.6296296296296,8,14256.3874,27
