"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant"
"1",39,86,10804.72909699,0.069281175561583,2.77285785316377e-07,"sham","41271"
"2",163,169,6967.16220735786,0.345345826119593,5.39774915694713e-06,"sham","41271"
"3",186,221,5297.67391304348,0.0670949223838188,7.28383165428548e-07,"sham","41271"
"4",332,354,5527.39966555184,0.0794413798298063,3.86776123121244e-06,"sham","41271"
"5",449,480,7473.87959866221,0.11130569730678,7.07913665588751e-07,"sham","41271"
"6",489,520,11282.4197324415,0.167941565441756,3.14995038305885e-07,"sham","41271"
"7",570,598,12795.8227424749,0.0228024548831683,1.14268159166802e-06,"sham","41271"
"8",604,628,7415.635,0.0862659702019384,1.2983111598619e-07,"sham","41271"
"9",682,691,5184.57286432161,0.25055154596538,1.29668925567506e-06,"sham","41271"
"10",713,725,12500.7866666667,0.0562367074907156,3.88032801670401e-06,"sham","41271"
"11",741,751,11168.5802675585,0.178904294938894,1.73041443715616e-07,"sham","41271"
"12",767,794,7043.82107023411,0.186881825575512,1.31397601524027e-06,"sham","41271"
"13",907,950,39777.0100334448,0.141333913241242,2.45063575111513e-06,"sham","41271"
"14",982,1006,39034.4416666667,0.0918711126978342,4.00920734956837e-07,"sham","41271"
"15",26,34,6047.90802675585,0.014988101925365,7.17292864485381e-07,"hepa","42281"
"16",125,131,6372.62876254181,0.470931628923763,8.48216800731884e-06,"hepa","42281"
"17",180,189,72549.2993311037,0.323048826833001,5.51297206724811e-06,"hepa","42281"
"18",255,267,5516.83277591973,0.576892169761286,2.80251316754124e-07,"hepa","42281"
"19",333,344,10739.7604690117,0.114045647657177,1.4397166447155e-06,"hepa","42281"
"20",394,405,13662.269681742,0.529454286776268,1.63876729228692e-06,"hepa","42281"
"21",444,457,27629.2680067002,0.273630436172797,2.57635936253888e-07,"hepa","42281"
"22",493,664,13589.7933333333,0.204267759659253,6.23538855350358e-07,"hepa","42281"
"23",690,717,11153.3733333333,0.145644461262349,9.51155602919763e-07,"hepa","42281"
"24",848,853,13042.7658862876,0.619460710885756,5.88434491058844e-06,"hepa","42281"
"25",915,936,38563.8366666667,0.369744743167582,3.66339264767553e-06,"hepa","42281"
"26",26,53,117054.814381271,0.385911001819667,1.61427945640821e-06,"sham","45361"
"27",121,150,43468.2943143813,0.305811072564676,1.13787359761091e-06,"sham","45361"
"28",267,284,10549.1713567839,0.404646194074452,8.89614475664871e-07,"sham","45361"
"29",314,336,116357.745,0.257804597101009,3.11437866122431e-06,"sham","45361"
"30",403,406,21073.205,0.930944413678869,6.69127802464733e-06,"sham","45361"
"31",451,492,69941.7233333333,0.533605295404619,2.30655224264441e-06,"sham","45361"
"32",551,580,40737.9698996655,0.146138129474456,2.63849878972537e-06,"sham","45361"
"33",596,610,7368.93634840871,0.101935107478277,4.20523630766124e-07,"sham","45361"
