"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"peaks_x",41,61,6.4194,0.0618034216260582,1.6640552716893e-06,"sham","41181","1"
"peaks_x1",303,339,9.1797,0.0396807710936086,2.71565594953076e-06,"sham","41181","1"
"peaks_x2",618,680,18.9397,0.0601008722476869,4.50689125920801e-07,"sham","41181","1"
"peaks_x9",41,61,20.6316,0.119950526906697,3.61974563354545e-06,"sham","41181","2.5"
"peaks_x11",196,227,11.3175,0.0801759718580572,1.01440500369606e-06,"sham","41181","2.5"
"peaks_x21",291,339,17.802,0.0465349960643967,2.14883001947743e-07,"sham","41181","2.5"
"peaks_x3",618,680,23.9901,0.0716560059389306,1.30211504844966e-06,"sham","41181","2.5"
"peaks_x10",40,72,126.2177,0.364867485526081,4.10551367321386e-07,"sham","41181","10"
"peaks_x12",194,210,64.9651,0.354497716865438,4.12038500467303e-06,"sham","41181","10"
"peaks_x22",290,318,78.0718,0.353215798218344,6.82475867114201e-07,"sham","41181","10"
"peaks_x31",440,452,215.0893,0.452578899589603,2.21808629401901e-06,"sham","41181","10"
"peaks_x4",461,486,63.8133,0.64314140764542,3.39093278376832e-06,"sham","41181","10"
"peaks_x5",571,595,21.4032,0.207963492394311,1.9944169488671e-06,"sham","41181","10"
"peaks_x6",618,697,27.479,0.0717576100151489,2.8169718255029e-07,"sham","41181","10"
"peaks_x7",859,872,55.6148,0.705102081603716,2.91702396606174e-06,"sham","41181","10"
"peaks_x8",1037,1044,97.0681,1.11307973565669,5.88017340837473e-06,"sham","41181","10"
"peaks_x13",49,57,10.0816,0.551544533307831,6.01895948690849e-06,"hepa","41181","1"
"peaks_x14",182,190,11.2146,1.90040678966031,6.68936800227496e-06,"hepa","41181","1"
"peaks_x23",280,286,11.4441,0.624396510683362,1.35011437683773e-06,"hepa","41181","1"
"peaks_x33",455,463,8.7046,0.595070842956745,1.59025673162468e-06,"hepa","41181","1"
"peaks_x43",498,507,12.5291,0.624603323086859,6.52247218655093e-07,"hepa","41181","1"
"peaks_x53",715,722,22.3738,1.32921024087997,8.6814648390306e-07,"hepa","41181","1"
"peaks_x63",752,763,19.2337,0.427735546282762,2.9536460579978e-07,"hepa","41181","1"
"peaks_x91",49,62,14.7576,0.536597101554048,4.69102210295896e-07,"hepa","41181","2.5"
"peaks_x111",182,190,11.8368,1.78257565956379,1.19552726496759e-06,"hepa","41181","2.5"
"peaks_x211",290,304,16.0041,0.204288519131008,6.38459935146167e-07,"hepa","41181","2.5"
"peaks_x311",455,468,12.7378,0.550852014455711,1.01614847741163e-06,"hepa","41181","2.5"
"peaks_x41",498,507,12.633,0.624428890506176,6.44735861605406e-07,"hepa","41181","2.5"
"peaks_x51",715,728,37.6535,1.21012104230744,7.00550781455601e-07,"hepa","41181","2.5"
"peaks_x61",752,761,27.9838,0.450388031354325,6.28101101980909e-07,"hepa","41181","2.5"
"peaks_x72",843,855,22.5968,0.329797201628234,4.74725161733074e-06,"hepa","41181","2.5"
"peaks_x101",10,20,81.0508,0.573036025111336,3.78191668447605e-07,"hepa","41181","10"
