"","x","y","r","case","participant_id"
"1","concent_indoor","concent_outdoor",0.322537587761221,"sham","41271"
"2","concent_indoor","concent_ratio",0.788120348117972,"sham","41271"
"3","concent_indoor","inlttmp_indoor",-0.26610221659584,"sham","41271"
"4","concent_indoor","inlttmp_outdoor",-0.259835925081351,"sham","41271"
"5","concent_indoor","inlttmp_ratio",0.115727059473797,"sham","41271"
"6","concent_indoor","pm1_indoor",0.616726226504758,"sham","41271"
"7","concent_indoor","pm1_outdoor",-0.0952728261713199,"sham","41271"
"8","concent_indoor","pm1_ratio",0.501791422056621,"sham","41271"
"9","concent_indoor","pm25_indoor",0.63752420089973,"sham","41271"
"10","concent_indoor","pm25_outdoor",0.400269253936393,"sham","41271"
"11","concent_indoor","pm25_ratio",0.207781803608972,"sham","41271"
"12","concent_indoor","pm10_indoor",0.609957056046283,"sham","41271"
"13","concent_indoor","pm10_outdoor",0.466920868235727,"sham","41271"
"14","concent_indoor","pm10_ratio",0.0859079920511022,"sham","41271"
"15","concent_indoor","pm1num_indoor",0.619663967937809,"sham","41271"
"16","concent_indoor","pm1num_outdoor",-0.0490672655418641,"sham","41271"
"17","concent_indoor","pm1num_ratio",0.418588556509906,"sham","41271"
"18","concent_indoor","temp_indoor",-0.157929763111298,"sham","41271"
"19","concent_indoor","temp_outdoor",0.287733076358261,"sham","41271"
"20","concent_indoor","temp_ratio",-0.00234741810681423,"sham","41271"
"21","concent_outdoor","concent_ratio",-0.145852001738382,"sham","41271"
"22","concent_outdoor","inlttmp_indoor",-0.183316493558035,"sham","41271"
"23","concent_outdoor","inlttmp_outdoor",-0.186314584239229,"sham","41271"
"24","concent_outdoor","inlttmp_ratio",0.190640608070085,"sham","41271"
"25","concent_outdoor","pm1_indoor",0.162765309477417,"sham","41271"
"26","concent_outdoor","pm1_outdoor",0.223029202837378,"sham","41271"
"27","concent_outdoor","pm1_ratio",-0.0344918890857006,"sham","41271"
"28","concent_outdoor","pm25_indoor",0.182988022023329,"sham","41271"
"29","concent_outdoor","pm25_outdoor",0.432774869253097,"sham","41271"
"30","concent_outdoor","pm25_ratio",-0.0661177999078786,"sham","41271"
"31","concent_outdoor","pm10_indoor",0.330787874285336,"sham","41271"
"32","concent_outdoor","pm10_outdoor",0.50293927926792,"sham","41271"
"33","concent_outdoor","pm10_ratio",-0.129268159276127,"sham","41271"
"34","concent_outdoor","pm1num_indoor",0.12726831677029,"sham","41271"
"35","concent_outdoor","pm1num_outdoor",0.130291119655535,"sham","41271"
"36","concent_outdoor","pm1num_ratio",-0.0206719240690358,"sham","41271"
"37","concent_outdoor","temp_indoor",-0.250872177840759,"sham","41271"
"38","concent_outdoor","temp_outdoor",-0.0446077732915479,"sham","41271"
"39","concent_outdoor","temp_ratio",0.00176981367376836,"sham","41271"
"40","concent_ratio","inlttmp_indoor",-0.191273911190126,"sham","41271"
"41","concent_ratio","inlttmp_outdoor",-0.182843613285352,"sham","41271"
"42","concent_ratio","inlttmp_ratio",0.0237859833783141,"sham","41271"
"43","concent_ratio","pm1_indoor",0.428843616463392,"sham","41271"
"44","concent_ratio","pm1_outdoor",-0.187943677707808,"sham","41271"
"45","concent_ratio","pm1_ratio",0.426102882766346,"sham","41271"
"46","concent_ratio","pm25_indoor",0.449073008127418,"sham","41271"
"47","concent_ratio","pm25_outdoor",0.245256479393146,"sham","41271"
"48","concent_ratio","pm25_ratio",0.168478515404676,"sham","41271"
"49","concent_ratio","pm10_indoor",0.368822264076471,"sham","41271"
"50","concent_ratio","pm10_outdoor",0.323033080184205,"sham","41271"
"51","concent_ratio","pm10_ratio",0.0801110790663355,"sham","41271"
"52","concent_ratio","pm1num_indoor",0.485687838030112,"sham","41271"
"53","concent_ratio","pm1num_outdoor",-0.0793705822289029,"sham","41271"
"54","concent_ratio","pm1num_ratio",0.339159207369792,"sham","41271"
"55","concent_ratio","temp_indoor",-0.0370038033805511,"sham","41271"
"56","concent_ratio","temp_outdoor",0.295715711059834,"sham","41271"
"57","concent_ratio","temp_ratio",-0.000275690639369413,"sham","41271"
"58","inlttmp_indoor","inlttmp_outdoor",0.999208130438787,"sham","41271"
"59","inlttmp_indoor","inlttmp_ratio",-0.7964263747075,"sham","41271"
"60","inlttmp_indoor","pm1_indoor",-0.291492097668293,"sham","41271"
"61","inlttmp_indoor","pm1_outdoor",0.130389354991868,"sham","41271"
"62","inlttmp_indoor","pm1_ratio",-0.295144959319423,"sham","41271"
"63","inlttmp_indoor","pm25_indoor",-0.331126725212307,"sham","41271"
"64","inlttmp_indoor","pm25_outdoor",-0.196932039133315,"sham","41271"
"65","inlttmp_indoor","pm25_ratio",-0.23849475263252,"sham","41271"
"66","inlttmp_indoor","pm10_indoor",-0.352969057023115,"sham","41271"
"67","inlttmp_indoor","pm10_outdoor",-0.31735253460994,"sham","41271"
"68","inlttmp_indoor","pm10_ratio",-0.110728076265668,"sham","41271"
"69","inlttmp_indoor","pm1num_indoor",-0.385354020551327,"sham","41271"
"70","inlttmp_indoor","pm1num_outdoor",0.179728207131797,"sham","41271"
"71","inlttmp_indoor","pm1num_ratio",-0.309700788234853,"sham","41271"
"72","inlttmp_indoor","temp_indoor",0.918380300687427,"sham","41271"
"73","inlttmp_indoor","temp_outdoor",-0.143384012330497,"sham","41271"
"74","inlttmp_indoor","temp_ratio",-0.0404537337040266,"sham","41271"
"75","inlttmp_outdoor","inlttmp_ratio",-0.819819737080652,"sham","41271"
"76","inlttmp_outdoor","pm1_indoor",-0.28913877623961,"sham","41271"
"77","inlttmp_outdoor","pm1_outdoor",0.121462776318019,"sham","41271"
"78","inlttmp_outdoor","pm1_ratio",-0.285217600711224,"sham","41271"
"79","inlttmp_outdoor","pm25_indoor",-0.328411600135374,"sham","41271"
"80","inlttmp_outdoor","pm25_outdoor",-0.189796675568119,"sham","41271"
"81","inlttmp_outdoor","pm25_ratio",-0.238666518467321,"sham","41271"
"82","inlttmp_outdoor","pm10_indoor",-0.35000182887407,"sham","41271"
"83","inlttmp_outdoor","pm10_outdoor",-0.312220205949319,"sham","41271"
"84","inlttmp_outdoor","pm10_ratio",-0.110203490584324,"sham","41271"
"85","inlttmp_outdoor","pm1num_indoor",-0.380027496100972,"sham","41271"
"86","inlttmp_outdoor","pm1num_outdoor",0.183954511085659,"sham","41271"
"87","inlttmp_outdoor","pm1num_ratio",-0.305615593182436,"sham","41271"
"88","inlttmp_outdoor","temp_indoor",0.923196471186479,"sham","41271"
"89","inlttmp_outdoor","temp_outdoor",-0.118573325261762,"sham","41271"
"90","inlttmp_outdoor","temp_ratio",-0.0397630142363425,"sham","41271"
"91","inlttmp_ratio","pm1_indoor",0.19966558313897,"sham","41271"
"92","inlttmp_ratio","pm1_outdoor",0.0359187799287535,"sham","41271"
"93","inlttmp_ratio","pm1_ratio",0.0840402034865177,"sham","41271"
"94","inlttmp_ratio","pm25_indoor",0.226596297109519,"sham","41271"
"95","inlttmp_ratio","pm25_outdoor",0.0460982779072508,"sham","41271"
"96","inlttmp_ratio","pm25_ratio",0.199655115943435,"sham","41271"
"97","inlttmp_ratio","pm10_indoor",0.239854905845359,"sham","41271"
"98","inlttmp_ratio","pm10_outdoor",0.173779738237415,"sham","41271"
"99","inlttmp_ratio","pm10_ratio",0.0866864154303217,"sham","41271"
"100","inlttmp_ratio","pm1num_indoor",0.231521140486707,"sham","41271"
"101","inlttmp_ratio","pm1num_outdoor",-0.203846020937233,"sham","41271"
"102","inlttmp_ratio","pm1num_ratio",0.188718577439755,"sham","41271"
"103","inlttmp_ratio","temp_indoor",-0.817067861180903,"sham","41271"
"104","inlttmp_ratio","temp_outdoor",-0.267487847271727,"sham","41271"
"105","inlttmp_ratio","temp_ratio",0.0217642812771336,"sham","41271"
"106","pm1_indoor","pm1_outdoor",0.17913399168512,"sham","41271"
"107","pm1_indoor","pm1_ratio",0.68410660718541,"sham","41271"
"108","pm1_indoor","pm25_indoor",0.985530669347721,"sham","41271"
"109","pm1_indoor","pm25_outdoor",0.299791200713037,"sham","41271"
"110","pm1_indoor","pm25_ratio",0.558597585596296,"sham","41271"
"111","pm1_indoor","pm10_indoor",0.560952181744521,"sham","41271"
"112","pm1_indoor","pm10_outdoor",0.134431817167882,"sham","41271"
"113","pm1_indoor","pm10_ratio",0.345381040897886,"sham","41271"
"114","pm1_indoor","pm1num_indoor",0.931688130528878,"sham","41271"
"115","pm1_indoor","pm1num_outdoor",0.106633388647336,"sham","41271"
"116","pm1_indoor","pm1num_ratio",0.687490640722123,"sham","41271"
"117","pm1_indoor","temp_indoor",-0.185921177712313,"sham","41271"
"118","pm1_indoor","temp_outdoor",0.215170154321427,"sham","41271"
"119","pm1_indoor","temp_ratio",0.00172750086955725,"sham","41271"
"120","pm1_outdoor","pm1_ratio",-0.394927027467711,"sham","41271"
"121","pm1_outdoor","pm25_indoor",0.114138835056236,"sham","41271"
"122","pm1_outdoor","pm25_outdoor",0.477518156672814,"sham","41271"
"123","pm1_outdoor","pm25_ratio",-0.228326819456436,"sham","41271"
"124","pm1_outdoor","pm10_indoor",-0.0347570980343637,"sham","41271"
"125","pm1_outdoor","pm10_outdoor",0.0245402330534017,"sham","41271"
"126","pm1_outdoor","pm10_ratio",-0.119467864022443,"sham","41271"
"127","pm1_outdoor","pm1num_indoor",0.0644095778962848,"sham","41271"
"128","pm1_outdoor","pm1num_outdoor",0.728860571065734,"sham","41271"
"129","pm1_outdoor","pm1num_ratio",-0.346618366971864,"sham","41271"
"130","pm1_outdoor","temp_indoor",0.0603149579595283,"sham","41271"
"131","pm1_outdoor","temp_outdoor",-0.396528286181298,"sham","41271"
"132","pm1_outdoor","temp_ratio",0.00330667756479404,"sham","41271"
"133","pm1_ratio","pm25_indoor",0.704016220383964,"sham","41271"
"134","pm1_ratio","pm25_outdoor",-0.0451970305992735,"sham","41271"
"135","pm1_ratio","pm25_ratio",0.615523043396219,"sham","41271"
"136","pm1_ratio","pm10_indoor",0.415186008109507,"sham","41271"
"137","pm1_ratio","pm10_outdoor",0.0614743899198334,"sham","41271"
"138","pm1_ratio","pm10_ratio",0.321203187294169,"sham","41271"
"139","pm1_ratio","pm1num_indoor",0.725970333980399,"sham","41271"
"140","pm1_ratio","pm1num_outdoor",-0.285165686950861,"sham","41271"
"141","pm1_ratio","pm1num_ratio",0.800512161597421,"sham","41271"
"142","pm1_ratio","temp_indoor",-0.142328627954822,"sham","41271"
"143","pm1_ratio","temp_outdoor",0.470800395187557,"sham","41271"
"144","pm1_ratio","temp_ratio",-0.00606165141329709,"sham","41271"
"145","pm25_indoor","pm25_outdoor",0.2845295015592,"sham","41271"
"146","pm25_indoor","pm25_ratio",0.655978973917692,"sham","41271"
