"","total_pm","deployment","pm","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","hepa_installed","peak_width","participant_id"
"1",27883.345,"OH","pm1","indoor",3,1,5,4.914,-0.171420962199762,2.28587964928962e-06,18.604,FALSE,FALSE,4,"41181"
"2",27883.345,"OH","pm1","indoor",23,21,26,4.319,-0.0687658864182527,6.01871910785175e-06,22.875,FALSE,TRUE,5,"41181"
"3",27883.345,"OH","pm1","indoor",370,366,372,4.384,-0.127441087017118,5.04747074889389e-07,22.079,FALSE,TRUE,6,"41181"
"4",27883.345,"OH","pm1","indoor",401,376,484,7.287,-0.00442419909590773,1.54386702695228e-07,617.227,FALSE,TRUE,108,"41181"
"5",7582.451,"OH","pm1","indoor",461,459,503,14.159,-0.0510501342728288,4.98759875598944e-07,250.088,TRUE,TRUE,44,"41181"
"6",27883.345,"OH","pm1","indoor",488,486,490,5.005,-0.119500408000569,9.90596372465167e-06,21.719,FALSE,TRUE,4,"41181"
"7",7582.451,"OH","pm1","indoor",512,511,514,1.796,-0.344727503716139,1.31971406728143e-06,5.295,TRUE,TRUE,3,"41181"
"8",27883.345,"OH","pm1","indoor",530,529,534,4.464,-0.042105687816197,1.87806599630156e-07,24.023,FALSE,TRUE,5,"41181"
"9",27883.345,"OH","pm1","indoor",581,580,583,4.441,-0.192215966200966,2.36356151446463e-07,14.3,FALSE,TRUE,3,"41181"
"10",27883.345,"OH","pm1","indoor",1326,1323,1328,4.702,-0.0814338050300577,2.97247958020417e-07,25.882,FALSE,TRUE,5,"41181"
"11",27883.345,"OH","pm1","indoor",1350,1343,1353,4.817,-0.057266443237942,2.68081743417272e-07,47.833,FALSE,TRUE,10,"41181"
"12",27883.345,"OH","pm1","indoor",1375,1374,1377,4.498,-0.0837472758202207,1.01925449762981e-07,16.184,FALSE,TRUE,3,"41181"
"13",27883.345,"OH","pm1","indoor",1406,1403,1409,4.251,-0.084627934216875,4.90894104871769e-07,25.864,FALSE,TRUE,6,"41181"
"14",27883.345,"OH","pm1","indoor",1430,1428,1432,4.258,-0.095342512802514,7.20389056841887e-06,19.109,FALSE,TRUE,4,"41181"
"15",27883.345,"OH","pm1","indoor",1524,1523,1526,4.312,-0.110534588963556,1.7341266591764e-07,15.118,FALSE,TRUE,3,"41181"
"16",7582.451,"OH","pm1","indoor",1779,1770,1791,25.351,-0.382361562423474,5.2143998672521e-06,172.923,TRUE,TRUE,21,"41181"
"17",7582.451,"OH","pm1","indoor",1873,1867,1892,5.745,-0.0665595124376113,8.71751489709706e-07,81.038,TRUE,TRUE,25,"41181"
"18",27883.345,"OH","pm1","indoor",1988,1901,2256,7.399,-0.000786428958423991,4.00156928992681e-06,1915.479,FALSE,TRUE,355,"41181"
"19",27883.345,"OH","pm1","indoor",2319,2256,2330,5.642,-0.00980321249417035,2.42476763463603e-07,370.996,FALSE,TRUE,74,"41181"
"20",27883.345,"OH","pm1","indoor",2351,2330,2398,5.356,-0.000752115712648036,3.40972130040001e-07,335.127,FALSE,TRUE,68,"41181"
"21",27883.345,"OH","pm1","indoor",2413,2405,2421,5.649,-0.0208417011781201,1.4258502500386e-07,79.987,FALSE,TRUE,16,"41181"
"22",7582.451,"OH","pm1","indoor",2758,2754,2818,18.647,-0.0450637040501197,5.24701454144187e-06,312.498,TRUE,TRUE,64,"41181"
"23",7582.451,"OH","pm1","indoor",2829,2826,2831,2.465,-0.196084281707317,4.42282473200168e-06,10.69,TRUE,TRUE,5,"41181"
"24",27883.345,"OH","pm1","indoor",2848,2421,3175,9.608,-0.00147196582483406,6.24538113825076e-07,4716.374,FALSE,TRUE,754,"41181"
"25",7582.451,"OH","pm1","indoor",2850,2831,2887,16.23,-0.059859355738949,3.40294787290186e-06,295.895,TRUE,TRUE,56,"41181"
"26",7582.451,"OH","pm1","indoor",2914,2913,2917,1.809,-0.143521117564918,5.46660270206058e-06,7.501,TRUE,TRUE,4,"41181"
"27",27883.345,"OH","pm1","indoor",3185,3175,3226,5.245,-0.0019199612810771,1.30310406398253e-07,248.104,FALSE,TRUE,51,"41181"
"28",27883.345,"OH","pm1","indoor",3254,3245,3261,4.966,-0.0232780423767954,3.4842784356021e-06,75.367,FALSE,TRUE,16,"41181"
"29",27883.345,"OH","pm1","indoor",3282,3279,3284,4.94,-0.133891472082158,9.23440222432887e-06,25.378,FALSE,TRUE,5,"41181"
"30",27883.345,"OH","pm1","indoor",3308,3306,3310,4.516,-0.1006550881777,3.82071486852543e-07,20.358,FALSE,TRUE,4,"41181"
"31",27883.345,"OH","pm1","indoor",3338,3328,3358,5.754,-0.0128882326248585,5.69525353555165e-09,154.826,FALSE,TRUE,30,"41181"
"32",27883.345,"OH","pm1","indoor",3365,3364,3368,4.771,-0.0605687074363513,3.31059138200336e-07,21.307,FALSE,TRUE,4,"41181"
"33",27883.345,"OH","pm1","indoor",3422,3419,3424,4.472,-0.138180184242102,7.39361195312487e-06,21.551,FALSE,TRUE,5,"41181"
"34",7582.451,"OH","pm1","indoor",4182,4179,4184,2.999,-0.342448587264766,4.26174682112248e-07,8.991,TRUE,TRUE,5,"41181"
"35",7582.451,"OH","pm1","indoor",4495,4483,4526,11.075,-0.0611550862716627,3.30498185517433e-06,220.811,TRUE,TRUE,43,"41181"
"36",7582.451,"OH","pm1","indoor",4527,4526,4529,2.062,-0.230543907248744,2.61493335265595e-06,6.1,TRUE,TRUE,3,"41181"
"37",7582.451,"OH","pm1","indoor",4908,4897,4949,17.055,-0.0589421029330747,1.70749940002497e-06,367.64,TRUE,TRUE,52,"41181"
"38",7582.451,"OH","pm1","indoor",5444,5442,5447,10.362,-1.5225644694817,1.50891438249121e-06,18.771,TRUE,TRUE,5,"41181"
"39",27883.345,"OH","pm1","indoor",6036,5896,6291,23.785,-0.00575677796469071,1.39957892251954e-06,4206.818,FALSE,TRUE,395,"41181"
"40",27883.345,"OH","pm1","indoor",6296,6291,6298,4.598,-0.0984205286864496,1.17079173541542e-06,34.59,FALSE,TRUE,7,"41181"
"41",27883.345,"OH","pm1","indoor",6316,6315,6319,4.402,-0.0290397408107652,3.28047851620971e-06,20.693,FALSE,TRUE,4,"41181"
"42",7582.451,"OH","pm1","indoor",6958,6943,6976,35.345,-0.194945451646403,4.55978543445793e-06,355.251,TRUE,TRUE,33,"41181"
"43",7582.451,"OH","pm1","indoor",6978,6976,6981,2.062,-0.40200644746861,1.99211906207514e-06,8.288,TRUE,TRUE,5,"41181"
"44",7582.451,"OH","pm1","indoor",7197,7193,7254,10.524,-0.0192573217610555,2.29567079362717e-06,253.432,TRUE,TRUE,61,"41181"
"45",7582.451,"OH","pm1","indoor",7257,7254,7260,2.511,-0.142987329465629,4.65941021573942e-07,13.934,TRUE,TRUE,6,"41181"
"46",7582.451,"OH","pm1","indoor",7316,7279,7380,29.097,-0.0437147508836459,7.98662046074417e-06,967.347,TRUE,TRUE,101,"41181"
"47",7582.451,"OH","pm1","indoor",7491,7486,7557,24.869,-0.0381177162807963,1.10049895601293e-06,556.523,TRUE,TRUE,71,"41181"
"48",7582.451,"OH","pm1","indoor",8231,8221,8255,3.76,-0.0155444227182791,1.15143617553501e-06,79.694,TRUE,TRUE,34,"41181"
