"","var1","var2","cor","p","case","participant_id"
"1","pm1_indoor","pm1_indoor",1,0,"sham","41181"
"2","pm1_outdoor","pm1_indoor",0.2,1.18e-62,"sham","41181"
"3","pm1_ratio","pm1_indoor",0.6,0,"sham","41181"
"4","pm25_indoor","pm1_indoor",0.91,0,"sham","41181"
"5","pm25_outdoor","pm1_indoor",0.18,2.34e-52,"sham","41181"
"6","pm25_ratio","pm1_indoor",0.6,0,"sham","41181"
"7","pm10_indoor","pm1_indoor",0.18,5.79e-53,"sham","41181"
"8","pm10_outdoor","pm1_indoor",0.0035,0.775,"sham","41181"
"9","pm10_ratio","pm1_indoor",0.072,3.71e-09,"sham","41181"
"10","pm1num_indoor","pm1_indoor",0.76,0,"sham","41181"
"11","pm1num_outdoor","pm1_indoor",0.11,3.25e-19,"sham","41181"
"12","pm1num_ratio","pm1_indoor",0.45,0,"sham","41181"
"13","temp_indoor","pm1_indoor",0.33,4.8e-176,"sham","41181"
"14","temp_outdoor","pm1_indoor",-0.073,1.99e-09,"sham","41181"
"15","temp_ratio","pm1_indoor",0.15,2.7e-36,"sham","41181"
"16","pm1_indoor","pm1_outdoor",0.2,1.18e-62,"sham","41181"
"17","pm1_outdoor","pm1_outdoor",1,0,"sham","41181"
"18","pm1_ratio","pm1_outdoor",-0.21,7.28e-66,"sham","41181"
"19","pm25_indoor","pm1_outdoor",0.25,1.75e-96,"sham","41181"
"20","pm25_outdoor","pm1_outdoor",1,0,"sham","41181"
"21","pm25_ratio","pm1_outdoor",-0.21,1.62e-65,"sham","41181"
"22","pm10_indoor","pm1_outdoor",0.12,1.93e-22,"sham","41181"
"23","pm10_outdoor","pm1_outdoor",0.26,1.24e-105,"sham","41181"
"24","pm10_ratio","pm1_outdoor",-0.073,1.55e-09,"sham","41181"
"25","pm1num_indoor","pm1_outdoor",0.34,1.18e-186,"sham","41181"
"26","pm1num_outdoor","pm1_outdoor",0.64,0,"sham","41181"
"27","pm1num_ratio","pm1_outdoor",-0.02,0.102,"sham","41181"
"28","temp_indoor","pm1_outdoor",-0.2,1.5e-62,"sham","41181"
"29","temp_outdoor","pm1_outdoor",-0.015,0.218,"sham","41181"
"30","temp_ratio","pm1_outdoor",-0.064,1.2e-07,"sham","41181"
"31","pm1_indoor","pm1_ratio",0.6,0,"sham","41181"
"32","pm1_outdoor","pm1_ratio",-0.21,7.28e-66,"sham","41181"
"33","pm1_ratio","pm1_ratio",1,0,"sham","41181"
"34","pm25_indoor","pm1_ratio",0.45,0,"sham","41181"
"35","pm25_outdoor","pm1_ratio",-0.22,1.86e-72,"sham","41181"
"36","pm25_ratio","pm1_ratio",0.96,0,"sham","41181"
"37","pm10_indoor","pm1_ratio",0.057,2.85e-06,"sham","41181"
"38","pm10_outdoor","pm1_ratio",-0.028,0.0197,"sham","41181"
"39","pm10_ratio","pm1_ratio",0.14,5.13e-32,"sham","41181"
"40","pm1num_indoor","pm1_ratio",0.16,2.21e-40,"sham","41181"
"41","pm1num_outdoor","pm1_ratio",-0.09,1.24e-13,"sham","41181"
"42","pm1num_ratio","pm1_ratio",0.16,4.96e-41,"sham","41181"
"43","temp_indoor","pm1_ratio",0.17,1.53e-44,"sham","41181"
"44","temp_outdoor","pm1_ratio",0.063,2.04e-07,"sham","41181"
"45","temp_ratio","pm1_ratio",-0.05,3.25e-05,"sham","41181"
"46","pm1_indoor","pm25_indoor",0.91,0,"sham","41181"
"47","pm1_outdoor","pm25_indoor",0.25,1.75e-96,"sham","41181"
"48","pm1_ratio","pm25_indoor",0.45,0,"sham","41181"
"49","pm25_indoor","pm25_indoor",1,0,"sham","41181"
"50","pm25_outdoor","pm25_indoor",0.24,2.41e-87,"sham","41181"
"51","pm25_ratio","pm25_indoor",0.49,0,"sham","41181"
"52","pm10_indoor","pm25_indoor",0.37,2.28e-225,"sham","41181"
"53","pm10_outdoor","pm25_indoor",0.024,0.0506,"sham","41181"
"54","pm10_ratio","pm25_indoor",0.11,8.69e-21,"sham","41181"
"55","pm1num_indoor","pm25_indoor",0.89,0,"sham","41181"
"56","pm1num_outdoor","pm25_indoor",0.092,4.1e-14,"sham","41181"
"57","pm1num_ratio","pm25_indoor",0.63,0,"sham","41181"
"58","temp_indoor","pm25_indoor",0.29,6.89e-128,"sham","41181"
"59","temp_outdoor","pm25_indoor",-0.022,0.0745,"sham","41181"
"60","temp_ratio","pm25_indoor",0.066,6.09e-08,"sham","41181"
"61","pm1_indoor","pm25_outdoor",0.18,2.34e-52,"sham","41181"
"62","pm1_outdoor","pm25_outdoor",1,0,"sham","41181"
"63","pm1_ratio","pm25_outdoor",-0.22,1.86e-72,"sham","41181"
"64","pm25_indoor","pm25_outdoor",0.24,2.41e-87,"sham","41181"
"65","pm25_outdoor","pm25_outdoor",1,0,"sham","41181"
"66","pm25_ratio","pm25_outdoor",-0.22,2.04e-74,"sham","41181"
