"","indoor_pm1","indoor_pm25","indoor_pm10","indoor_pm1_num","outdoor_pm1","outdoor_pm25","outdoor_pm10","outdoor_pm1_num","ratio_pm1","ratio_pm25","ratio_pm10","ratio_pm1_num"
"indoor_pm1",1,0.910522133745705,0.184468812485721,0.759180435587189,0.20085518061421,0.183390036887914,0.00346868563230116,0.108513653284042,0.600218596521468,0.602541035897224,0.0715362143281335,0.449506768095302
"indoor_pm25",0.910522133745705,1,0.374999404489043,0.891873173582627,0.24917976109576,0.237196940825278,0.0237392499319191,0.0916107971289065,0.448445398323211,0.494070571002201,0.113218384929872,0.630732635204411
"indoor_pm10",0.184468812485721,0.374999404489043,1,0.336193208806955,0.117959971003365,0.120304540454167,-0.0154708345262006,-0.00472358253040828,0.0568206084485052,0.120554252021738,0.734073769515664,0.327755757851459
"indoor_pm1_num",0.759180435587189,0.891873173582627,0.336193208806955,1,0.343138579183294,0.330441017566542,0.0468496744027334,0.122595965002801,0.160546573604916,0.233271004529358,0.0797409106749679,0.720285427415796
"outdoor_pm1",0.20085518061421,0.24917976109576,0.117959971003365,0.343138579183294,1,0.996311288757488,0.260556928220259,0.639942787901925,-0.205978981648476,-0.205432846364106,-0.0732512122674098,-0.0198519672202882
"outdoor_pm25",0.183390036887914,0.237196940825278,0.120304540454167,0.330441017566542,0.996311288757488,1,0.268175371535735,0.617812347630816,-0.216086061839063,-0.218995415519918,-0.0797847557878769,-0.0159554940907474
"outdoor_pm10",0.00346868563230116,0.0237392499319191,-0.0154708345262006,0.0468496744027334,0.260556928220259,0.268175371535735,1,0.164890470398091,-0.0283105091121503,-0.0500832390876076,-0.108200928487838,-0.0288540629943477
"outdoor_pm1_num",0.108513653284042,0.0916107971289065,-0.00472358253040828,0.122595965002801,0.639942787901925,0.617812347630816,0.164890470398091,1,-0.0898619592759959,-0.0903380797084235,-0.0536815117101867,-0.387585442982747
"ratio_pm1",0.600218596521468,0.448445398323211,0.0568206084485052,0.160546573604916,-0.205978981648476,-0.216086061839063,-0.0283105091121503,-0.0898619592759959,1,0.963568235982204,0.142324055781755,0.161871075312095
"ratio_pm25",0.602541035897224,0.494070571002201,0.120554252021738,0.233271004529358,-0.205432846364106,-0.218995415519918,-0.0500832390876076,-0.0903380797084235,0.963568235982204,1,0.185910686087057,0.237448255432261
"ratio_pm10",0.0715362143281335,0.113218384929872,0.734073769515664,0.0797409106749679,-0.0732512122674098,-0.0797847557878769,-0.108200928487838,-0.0536815117101867,0.142324055781755,0.185910686087057,1,0.120655748986937
"ratio_pm1_num",0.449506768095302,0.630732635204411,0.327755757851459,0.720285427415796,-0.0198519672202882,-0.0159554940907474,-0.0288540629943477,-0.387585442982747,0.161871075312095,0.237448255432261,0.120655748986937,1
