"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"1",28,56,37.4598444444444,0.17205098385492,1.45930848352358e-06,"on","1","1"
"2",185,203,84.8969,0.394463977975117,8.46447435071544e-07,"on","1","1"
"3",465,477,8.54058333333333,0.782699613439218,1.02097967293322e-06,"on","1","1"
"4",700,720,78.8525222222222,0.529959646485123,3.43126849408501e-06,"on","1","1"
"5",1033,1043,25.22593,0.532181580848457,5.19844698237415e-07,"on","1","1"
"6",28,55,37.9606666666667,0.173748358745574,6.7784645704703e-07,"on","1","2.5"
"7",185,202,105.086666666667,0.413737487576825,2.93314350603991e-06,"on","1","2.5"
"8",465,477,10.1294522222222,0.703085341649338,4.79969694144502e-06,"on","1","2.5"
"9",700,714,85.2604333333333,0.524792681061936,3.42211935549721e-07,"on","1","2.5"
"10",730,736,28.933,0.819880474578738,1.13943185629202e-06,"on","1","2.5"
"11",1033,1043,29.87538,0.532035786416021,1.05709777590837e-06,"on","1","2.5"
"12",4,12,24.780735,0.714578398398719,3.08190924403346e-06,"on","1","10"
"13",29,46,42.17318,0.207581176687713,1.75825038935117e-06,"on","1","10"
"14",184,202,138.399,0.326833877063987,2.34026488036569e-06,"on","1","10"
"15",700,707,100.277188888889,0.490363851541599,2.55469378644262e-06,"on","1","10"
"16",730,736,69.72981,1.01733577399179,6.8951973375342e-07,"on","1","10"
"17",755,769,31.7694444444444,0.391129877867946,2.03062437635222e-06,"on","1","10"
"18",998,1010,27.921911,0.484630393513968,2.85383133169878e-06,"on","1","10"
"19",1033,1043,40.63291,0.539952296286252,4.84475016235069e-06,"on","1","10"
