"","x","y","r","case","participant_id","environment"
"1","pm1","pm25",0.987593331573547,"off","auditor","indoor"
"2","pm1","pm10",0.966071569219452,"off","auditor","indoor"
"3","pm1","concent",0.551361007989135,"off","auditor","indoor"
"4","pm1","pm1num",0.968199361074407,"off","auditor","indoor"
"5","pm25","pm10",0.983359997313335,"off","auditor","indoor"
"6","pm25","concent",0.503421279984171,"off","auditor","indoor"
"7","pm25","pm1num",0.98477764952721,"off","auditor","indoor"
"8","pm10","concent",0.506914843219913,"off","auditor","indoor"
"9","pm10","pm1num",0.967697712542935,"off","auditor","indoor"
"10","concent","pm1num",0.485394986749269,"off","auditor","indoor"
"11","pm1","pm25",0.937246907498118,"off","mainroom","indoor"
"12","pm1","pm10",-0.1687002904177,"off","mainroom","indoor"
"13","pm1","concent",-0.66473350461194,"off","mainroom","indoor"
"14","pm1","pm1num",0.69518446217165,"off","mainroom","indoor"
"15","pm25","pm10",0.0788120679078864,"off","mainroom","indoor"
"16","pm25","concent",-0.563175356357731,"off","mainroom","indoor"
"17","pm25","pm1num",0.698448378594798,"off","mainroom","indoor"
"18","pm10","concent",0.238966617980794,"off","mainroom","indoor"
"19","pm10","pm1num",-0.041437909599834,"off","mainroom","indoor"
"20","concent","pm1num",-0.313929003827885,"off","mainroom","indoor"
"21","pm1","pm25",0.996724941651655,"off","waterdept","indoor"
"22","pm1","pm10",0.860855095392826,"off","waterdept","indoor"
"23","pm1","concent",0.563985553282352,"off","waterdept","indoor"
"24","pm1","pm1num",0.909636641327932,"off","waterdept","indoor"
"25","pm25","pm10",0.890445471104077,"off","waterdept","indoor"
"26","pm25","concent",0.605397717008184,"off","waterdept","indoor"
"27","pm25","pm1num",0.914064594404402,"off","waterdept","indoor"
"28","pm10","concent",0.715977714986656,"off","waterdept","indoor"
"29","pm10","pm1num",0.830564185211837,"off","waterdept","indoor"
"30","concent","pm1num",0.560075690685765,"off","waterdept","indoor"
"31","pm1","pm25",0.991576772781292,"off","all","indoor"
"32","pm1","pm10",0.911462178982704,"off","all","indoor"
"33","pm1","concent",0.494613471376529,"off","all","indoor"
"34","pm1","pm1num",0.88819796454241,"off","all","indoor"
"35","pm25","pm10",0.933681450928592,"off","all","indoor"
"36","pm25","concent",0.504219817450857,"off","all","indoor"
"37","pm25","pm1num",0.901486600214789,"off","all","indoor"
"38","pm10","concent",0.60587290614454,"off","all","indoor"
"39","pm10","pm1num",0.82681066789389,"off","all","indoor"
"40","concent","pm1num",0.316720716555502,"off","all","indoor"
"41","pm1","pm25",0.643022686423611,"off","auditor","ratio"
"42","pm1","pm10",0.399830435164045,"off","auditor","ratio"
"43","pm1","concent",0.188220245846356,"off","auditor","ratio"
"44","pm1","pm1num",0.434380500598921,"off","auditor","ratio"
"45","pm25","pm10",0.838667310820777,"off","auditor","ratio"
"46","pm25","concent",0.0210825882584782,"off","auditor","ratio"
"47","pm25","pm1num",0.349120626435379,"off","auditor","ratio"
"48","pm10","concent",-0.0276747494208582,"off","auditor","ratio"
"49","pm10","pm1num",0.240491841392364,"off","auditor","ratio"
"50","concent","pm1num",0.233207161045432,"off","auditor","ratio"
"51","pm1","pm25",0.910935833814029,"off","mainroom","ratio"
"52","pm1","pm10",0.58420854583374,"off","mainroom","ratio"
"53","pm1","concent",0.291564797983662,"off","mainroom","ratio"
"54","pm1","pm1num",0.609330422950494,"off","mainroom","ratio"
"55","pm25","pm10",0.7316402776015,"off","mainroom","ratio"
"56","pm25","concent",0.345096680795037,"off","mainroom","ratio"
"57","pm25","pm1num",0.697180409780228,"off","mainroom","ratio"
"58","pm10","concent",0.27714124273107,"off","mainroom","ratio"
"59","pm10","pm1num",0.527420555738846,"off","mainroom","ratio"
"60","concent","pm1num",0.470688616357014,"off","mainroom","ratio"
"61","pm1","pm25",0.929588184157467,"off","waterdept","ratio"
"62","pm1","pm10",0.405268919724014,"off","waterdept","ratio"
"63","pm1","concent",0.167233521924121,"off","waterdept","ratio"
"64","pm1","pm1num",0.271882977169732,"off","waterdept","ratio"
"65","pm25","pm10",0.568188943972996,"off","waterdept","ratio"
"66","pm25","concent",0.284272043548761,"off","waterdept","ratio"
"67","pm25","pm1num",0.411003679762593,"off","waterdept","ratio"
"68","pm10","concent",0.334233188530977,"off","waterdept","ratio"
"69","pm10","pm1num",0.365287368097395,"off","waterdept","ratio"
"70","concent","pm1num",0.372829203605749,"off","waterdept","ratio"
"71","pm1","pm25",0.836436041176875,"off","all","ratio"
"72","pm1","pm10",0.469734824599264,"off","all","ratio"
"73","pm1","concent",0.268090724445825,"off","all","ratio"
"74","pm1","pm1num",0.615869905917798,"off","all","ratio"
"75","pm25","pm10",0.697285579651774,"off","all","ratio"
"76","pm25","concent",0.25085821400833,"off","all","ratio"
"77","pm25","pm1num",0.626484624738973,"off","all","ratio"
"78","pm10","concent",0.221670104788714,"off","all","ratio"
"79","pm10","pm1num",0.412509867971863,"off","all","ratio"
"80","concent","pm1num",0.35609565320044,"off","all","ratio"
"81","pm1","pm25",0.990099091765048,"on","auditor","indoor"
"82","pm1","pm10",0.827437592291119,"on","auditor","indoor"
"83","pm1","concent",0.529878499569235,"on","auditor","indoor"
"84","pm1","pm1num",0.958204137615216,"on","auditor","indoor"
"85","pm25","pm10",0.867904691767362,"on","auditor","indoor"
"86","pm25","concent",0.519176165243092,"on","auditor","indoor"
"87","pm25","pm1num",0.97326960185943,"on","auditor","indoor"
"88","pm10","concent",0.519289699119059,"on","auditor","indoor"
"89","pm10","pm1num",0.843356672268926,"on","auditor","indoor"
"90","concent","pm1num",0.484357736399091,"on","auditor","indoor"
