"","deployment","room","participant_id","environment","pm","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"1","CH","office","engineering","indoor","pm1",7,0,2746,10.5565,-0.000179849858474485,5.24965227010937e-07,16166.8326,TRUE,2746
"2","CH","office","engineering","indoor","pm1",10,0,29,4.3725,-0.0094020596878979,2.28132631053552e-07,105.231,FALSE,29
"3","CH","office","engineering","indoor","pm1",498,486,504,4.9781,-0.0810442855018315,1.49821110269324e-06,65.5442,FALSE,18
"4","CH","office","engineering","indoor","pm1",779,670,1131,5.4867,-0.00073667302298645,3.00028950295585e-06,1852.4237,FALSE,461
"5","CH","office","engineering","indoor","pm1",1306,1294,1309,4.0179,-0.097874875377694,4.42992388836746e-07,52.6925,FALSE,15
"6","CH","office","engineering","indoor","pm1",1564,1520,1690,5.3463,-0.000806598030174803,3.07799568104985e-06,773.3171,FALSE,170
"7","CH","office","engineering","indoor","pm1",1939,1916,1947,4.4766,-0.0337650110636073,2.17927373430237e-06,113.9963,FALSE,31
"8","CH","office","engineering","indoor","pm1",2439,2424,2443,4.1496,-0.0917401604889871,5.95192230738891e-06,67.9535,FALSE,19
"9","CH","office","engineering","indoor","pm1",2900,2887,2902,5.7696,-0.416121748975839,4.53138594170747e-06,55.3753,FALSE,15
"10","CH","office","engineering","indoor","pm1",3588,3585,3590,4.2728,-0.224793182325167,1.17798808081433e-06,18.2571,FALSE,5
"11","CH","office","engineering","indoor","pm1",4579,4578,4590,4.0255,-0.00954369293940184,8.80768989251294e-07,42.2982,FALSE,12
"12","CH","office","engineering","indoor","pm1",4787,4752,4819,4.1528,-0.00317417329501886,2.71003157738742e-08,240.4251,FALSE,67
"13","CH","office","engineering","indoor","pm1",6907,5933,6996,14.0023,-0.00251680300311086,3.81805886627997e-06,8642.0878,FALSE,1063
"14","CH","office","engineering","indoor","pm25",84,79,86,5.0192,-0.281030023577133,2.82637592678492e-06,27.7639,FALSE,7
"15","CH","office","engineering","indoor","pm25",498,493,504,5.1861,-0.0770905484776963,1.72271527342141e-06,43.8643,FALSE,11
"16","CH","office","engineering","indoor","pm25",779,716,1061,5.5025,-0.000699244302813632,9.43010810660655e-06,1447.2885,FALSE,345
