"","participant_id","environment","hepa","pm","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","peak_wdh_mean","peak_wdh_median","total_plume_area"
"1","clerk","indoor",FALSE,"pm1",-0.00243785351365709,-0.0022719525690068,7.31595246003398,4.9695249493647,1440,1404,38129.6325741478
"2","clerk","indoor",TRUE,"pm1",-0.00210374533115434,-0.00190879486399718,3.98920825334463,4.87217648007688,2327.33333333333,2808,40847.5348706291
"3","clerk","indoor",FALSE,"pm25",-0.00242008215432205,-0.00211470417245808,8.24082548635669,6.53126853644869,1458,1476,40506.2843753001
"4","clerk","indoor",TRUE,"pm25",-0.00301264510515173,-0.00301264510515173,6.53126853644869,6.53126853644869,3240.5,3240.5,42416.3317332059
"5","clerk","indoor",FALSE,"pm10",-0.00259591129733994,-0.00238994043776393,8.69002400847373,7.0462112411306,1440,1404,42204.0409036773
"6","clerk","indoor",TRUE,"pm10",-0.00313300096387302,-0.00313300096387302,7.0462112411306,7.0462112411306,3168.5,3168.5,44162.4309811991
"7","engineering","indoor",FALSE,"pm1",-0.00413038889463582,-0.00413038889463582,8.6889704412777,8.6889704412777,1358.5,1358.5,14228.7599467554
"8","engineering","indoor",TRUE,"pm1",-0.00186004330092402,-0.00186004330092402,12.6731359159557,12.6731359159557,6996,6996,25059.2784156154
"9","engineering","indoor",FALSE,"pm25",-0.00344620822781173,-0.00344620822781173,9.35127081543309,9.35127081543309,1358.5,1358.5,14785.3658789704
"10","engineering","indoor",TRUE,"pm25",-0.00113275711922872,-0.00113275711922872,13.7327258641894,13.7327258641894,6996,6996,26271.3475741156
"11","engineering","indoor",FALSE,"pm10",-0.0023970529019043,-0.00353803146518539,6.40256275931088,6.16403891468076,626.4,483,18819.0560125538
"12","engineering","indoor",TRUE,"pm10",-0.000426883737472098,-0.00170954143038732,5.42268822231177,3.81784255584148,2332,1889,29923.8838163721
"13","veterans","indoor",FALSE,"pm1",-0.0159991062218265,-0.0159991062218265,4.84024997229854,4.84024997229854,104.5,104.5,665.170176997285
"14","veterans","indoor",TRUE,"pm1",-0.00347258683858385,-0.00347258683858385,3.41402633891727,3.41402633891727,740,740,3730.40769910817
"15","veterans","indoor",FALSE,"pm25",-0.00843039478547354,-0.00843039478547354,5.65119996436023,5.65119996436023,133,133,488.648786401665
"16","veterans","indoor",TRUE,"pm25",-0.00321120704068278,-0.00321120704068278,3.6904294792048,3.6904294792048,749.5,749.5,3966.29745616876
"17","veterans","indoor",FALSE,"pm10",-0.0116270348774298,-0.0116270348774298,5.6447064565408,5.6447064565408,171,171,1345.14982643239
"18","veterans","indoor",TRUE,"pm10",-0.00597200177267975,-0.00583398728694052,4.01653309504626,3.98849752219465,322.5,322,3948.45300834615
