"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n"
"1","engineering","indoor","pm1",FALSE,-0.080959938642643,-0.0216543520015046,-0.416121748975839,-0.00073667302298645,5.42089166666667,4.42455,4.0179,14.0023,158.75,24,5,1063,12029.6018,12
"2","engineering","indoor","pm1",TRUE,-0.000179849858474485,-0.000179849858474485,-0.000179849858474485,-0.000179849858474485,10.5565,10.5565,10.5565,10.5565,2746,2746,2746,2746,16166.8326,1
"3","engineering","indoor","pm25",FALSE,-0.110546196551603,-0.0418935151689237,-0.306296146666844,-0.000699244302813632,6.3104375,5.10265,4.3464,14.882,211.5,44,5,1063,11658.9867,8
"4","engineering","indoor","pm25",TRUE,-0.000310905168715838,-0.000310905168715838,-0.000310905168715838,-0.000310905168715838,12.8014,12.8014,12.8014,12.8014,2746,2746,2746,2746,17283.7062,1
"5","engineering","indoor","pm10",FALSE,-0.1372687725223,-0.0450130427878185,-0.438989639526195,-0.00142968946961965,10.2136769230769,10.6202,5.0464,23.127,136.615384615385,35,3,1063,13795.4798,13
"6","engineering","indoor","pm10",TRUE,-0.000230187310934575,-0.000230187310934575,-0.000230187310934575,-0.000230187310934575,23.4422,23.4422,23.4422,23.4422,2746,2746,2746,2746,20615.1721,1
"7","clerk","indoor","pm1",FALSE,-0.00509268202605359,-0.0023181438408068,-0.0172212263447022,-0.000522778699385076,7.42646666666667,5.37435,4.1304,19.152,631.666666666667,329.5,34,2096,33535.7996,6
"8","clerk","indoor","pm1",TRUE,-0.0422694817543707,-0.00985724541199206,-0.164948158288498,-0.00237169445808587,4.26135,2.90145,2.0582,10.1356,478.5,201.5,4,1523,12091.9514,6
"9","clerk","indoor","pm25",FALSE,-0.00545199850720612,-0.00333042944061135,-0.0168039643840837,-0.000536312809939131,8.36555,5.70405,4.3038,19.8611,643.833333333333,372,20,2098,35600.5697,6
"10","clerk","indoor","pm25",TRUE,-0.0350968337222377,-0.0078331858709581,-0.204404454509179,-0.00247466625082288,4.18887142857143,2.9413,2.1077,9.9103,416.571428571429,65,5,1523,12724.0823,7
"11","clerk","indoor","pm10",FALSE,-0.172051824518261,-0.198372463674132,-0.401546803980942,-0.000379008218832561,7.978725,5.8157,4.9187,24.2985,303.166666666667,8,3,2077,36355.2862,12
"12","clerk","indoor","pm10",TRUE,-0.419645994776413,-0.290561876096742,-1.3097809959558,-0.001447306630728,5.06606666666667,4.40935,2.8381,11.9787,142.944444444444,7.5,3,1445,13139.6916,18
"13","veterans","indoor","pm1",FALSE,-0.0181788782369387,-0.0158584996142952,-0.0343957144884564,-0.00428242060806437,5.08846666666667,4.4461,4.3898,6.4295,48,56,14,74,600.3591,3
"14","veterans","indoor","pm1",TRUE,-0.0635793499536662,-0.0635793499536662,-0.0635793499536662,-0.0635793499536662,2.1991,2.1991,2.1991,2.1991,14,14,14,14,25.5252,1
"15","veterans","indoor","pm25",FALSE,-0.019068385542981,-0.015671505828079,-0.0359406585956032,-0.00559299220526082,5.32966666666667,4.8713,4.6841,6.4336,48,56,14,74,624.883,3
"16","veterans","indoor","pm25",TRUE,-0.385962772244598,-0.385962772244598,-0.385962772244598,-0.385962772244598,4.6243,4.6243,4.6243,4.6243,5,5,5,5,14.0211,1
"17","veterans","indoor","pm10",FALSE,-0.325348204348449,-0.483118340687452,-0.583547696344655,-0.00940568488868168,9.12068,8.7659,5.0227,13.0345,28,6,4,80,715.7507,5
"18","veterans","indoor","pm10",TRUE,-0.74823968557016,-0.719959130199857,-1.31320661679965,-0.247153295718179,8.09996666666667,6.2983,2.6962,14.8836,6.16666666666667,6.5,5,7,135.0696,6
