"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"1","business_s1","indoor","pm1",FALSE,-0.00626143985480257,-0.00514565166791531,-0.014369397109874,-0.000163160617344508,3.20198675707071,3.06505376388558,2.50371717931731,5.16964470255527,90.5333333333333,75,50,250,2590.82375920798,15,6542.826542789
"2","business_s1","indoor","pm1",TRUE,-0.0117131031176683,-0.0117131031176683,-0.0162009313774593,-0.00722527485787738,3.30577859003501,3.30577859003501,0.642802337103746,5.96875484296627,264,264,176,352,500.18038446493,2,2590.76425536943
"3","business_s1","indoor","pm25",FALSE,-0.00593604665664671,-0.00470143112091392,-0.0152494567296434,-0.000299607000781892,3.37559870680325,3.26427983843229,2.62688309008286,5.27551990620647,84.875,75,50,150,2590.33120978609,16,6785.50771180392
"4","business_s1","indoor","pm25",TRUE,-0.0159733112472687,-0.0159733112472687,-0.0159733112472687,-0.0159733112472687,6.51744680710083,6.51744680710083,6.51744680710083,6.51744680710083,352,352,352,352,503.546711569674,1,2860.51642898417
"5","business_s1","indoor","pm10",FALSE,-0.0106720413998239,-0.00800625281896323,-0.0318542790234008,-0.00342496842636629,4.34383907552183,4.08550450622825,2.79241830847482,8.61362129498616,92.6470588235294,100,50,175,3344.09654625658,17,7659.04458212749
"6","business_s1","indoor","pm10",TRUE,-0.0284419342359346,-0.0323539934649903,-0.0350854944062594,-0.0178863148365542,6.1964918703748,6.53739764261436,1.47694742382395,10.5751305446861,190.666666666667,132,88,352,873.782792668109,3,3940.12321307896
"7","business_s2","indoor","pm1",FALSE,-0.0198924863239742,-0.0170677557578631,-0.0419630194779428,-0.00607268824018322,3.959345,3.6344,2.7518,6.6208,59.2,48,32,144,1953.41055,20,5057.7772
"8","business_s2","indoor","pm1",TRUE,-0.0814275976467792,-0.0738916048600434,-0.145098286612114,-0.0306032167040935,4.12303571428571,2.60755,1.2422,11.7559,55.7142857142857,48,24,156,661.4146,14,2245.2972
"9","business_s2","indoor","pm25",FALSE,-0.019506519484746,-0.0163491496488472,-0.0400118428245488,-0.00440820096695922,4.067245,3.6901,2.7707,6.7411,58.4,48,32,144,1987.28165,20,5244.1991
"10","business_s2","indoor","pm25",TRUE,-0.0794167128590469,-0.0715025875090008,-0.143150100632119,-0.0302337710223773,4.20862142857143,2.6982,1.3584,11.7789,52.2857142857143,48,24,156,691.73105,14,2372.3962
