"","deployment","room","participant_id","environment","pm","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","total_pm","peak_width"
"1","CM","residential","300","indoor","pm1",766,751,821,6.907,-0.0100910131461981,1.40711097544745e-06,170.15,TRUE,29634.653,70
"2","CM","residential","300","indoor","pm1",833,821,955,48.893,-0.0204204782801896,5.23802761625586e-07,2164.716,FALSE,26595.339,134
"3","CM","residential","300","indoor","pm1",2514,2509,2538,6.79,-0.0397832910431871,3.23058475603762e-07,81.922,TRUE,29634.653,29
"4","CM","residential","300","indoor","pm1",3366,3361,3386,9.717,-0.0616647129820716,8.7011109671467e-06,108.335,FALSE,26595.339,25
"5","CM","residential","300","indoor","pm1",3851,3815,3886,20.017,-0.0434236676597678,3.06337387590222e-06,177.676,FALSE,26595.339,71
"6","CM","residential","300","indoor","pm1",3931,3911,4166,9.061,-0.00609452916372568,3.44035737244417e-06,899.8,TRUE,29634.653,255
"7","CM","residential","300","indoor","pm1",4522,4506,4613,38.843,-0.0251420928589251,6.05173464289314e-06,1255.475,FALSE,26595.339,107
"8","CM","residential","300","indoor","pm1",4816,4797,5027,49.948,-0.0140795905646276,7.76235424762253e-06,3207.272,FALSE,26595.339,230
"9","CM","residential","300","indoor","pm1",5405,5352,5507,4.069,-0.00374512227823169,2.196513873784e-08,240.968,TRUE,29634.653,155
"10","CM","residential","300","indoor","pm1",5607,5598,5619,3.582,-0.0512047653508924,1.5376026176658e-06,28.978,TRUE,29634.653,21
"11","CM","residential","300","indoor","pm1",5952,5946,6051,47.128,-0.025705000089456,1.102797502725e-06,1717.496,FALSE,26595.339,105
"12","CM","residential","300","indoor","pm1",6330,6216,6573,6.452,-0.00282620769889231,4.71996802808503e-06,781.564,TRUE,29634.653,357
"13","CM","residential","300","indoor","pm1",6422,6408,6494,13.737,-0.01933753738697,3.2265096280351e-06,520.735,FALSE,26595.339,86
"14","CM","residential","300","indoor","pm1",6861,6796,6982,5.621,-0.00591335123431469,1.99258864537106e-06,378.641,TRUE,29634.653,186
"15","CM","residential","300","indoor","pm1",7810,7801,7874,7.701,-0.0196614052949351,5.71703191815952e-06,214.132,TRUE,29634.653,73
"16","CM","residential","300","indoor","pm1",9140,9136,9333,8.406,-0.00507983153475841,7.66928157491577e-07,674.493,TRUE,29634.653,197
"17","CM","residential","300","indoor","pm1",9409,9405,9434,5.646,-0.0185089054668365,4.56808911055975e-06,113.192,FALSE,26595.339,29
"18","CM","residential","300","indoor","pm1",9546,9528,9821,18.369,-0.00401475665598851,5.93141267248616e-06,2019.665,TRUE,29634.653,293
"19","CM","residential","300","indoor","pm1",10638,10550,11231,40.712,-0.00609847660908735,6.96724839676028e-06,5173.524,TRUE,29634.653,681
"20","CM","residential","300","indoor","pm1",10842,10827,10894,34.378,-0.0439032026311698,1.53521250669374e-06,633.003,FALSE,26595.339,67
"21","CM","residential","300","indoor","pm1",11623,11574,11670,7.732,-0.0153542924710694,2.09840862140545e-06,229.845,FALSE,26595.339,96
"22","CM","residential","300","indoor","pm1",11946,11941,11963,5.727,-0.0292701721606419,5.37671202181255e-06,64.626,FALSE,26595.339,22
"23","CM","residential","300","indoor","pm1",12013,12008,12075,4.187,-0.00215048235825289,8.40357746404724e-06,140.792,TRUE,29634.653,67
"24","CM","residential","300","indoor","pm1",12740,12676,12817,7.049,-0.00492750388347439,7.49022184520186e-07,389.833,FALSE,26595.339,141
"25","CM","residential","300","indoor","pm1",13272,13263,13406,21.446,-0.0108256942727349,4.40857544163425e-07,1460.587,FALSE,26595.339,143
"26","CM","residential","300","indoor","pm1",13867,13848,13997,4.237,-0.00598371661531258,2.54652952014994e-08,335.364,TRUE,29634.653,149
"27","CM","residential","300","indoor","pm1",14733,14714,14852,5.526,-0.00776679622906723,1.01808161793863e-06,340.271,TRUE,29634.653,138
"28","CM","residential","300","indoor","pm1",15353,15330,15458,6.884,-0.0145791590658093,4.08094922724507e-07,349.866,TRUE,29634.653,128
"29","CM","residential","300","indoor","pm1",17949,17941,17969,4.476,-0.0541299274125657,1.82929214690754e-06,51.645,TRUE,29634.653,28
"30","CM","residential","300","indoor","pm1",19477,19363,19869,5.602,-0.00208044179323655,7.368206906015e-06,1033.089,TRUE,29634.653,506
"31","CM","residential","300","indoor","pm1",21128,21125,21147,9.042,-0.105122606273996,5.23499049055204e-06,68.934,TRUE,29634.653,22
"32","CM","residential","300","indoor","pm1",21739,21727,21765,3.262,-0.0306203752308125,4.65590526719967e-06,60.185,TRUE,29634.653,38
"33","CM","residential","300","indoor","pm1",22207,22202,22417,9.887,-0.00617996131805065,5.63838324011738e-06,1026.022,TRUE,29634.653,215
"34","CM","residential","300","indoor","pm25",766,751,922,7.745,-0.00304822873740365,3.24603213320545e-06,507.085,TRUE,43463.994,171
"35","CM","residential","300","indoor","pm25",824,821,976,76.163,-0.0191836854212362,1.36561008374802e-06,3552.992,FALSE,47010.27,155
"36","CM","residential","300","indoor","pm25",1267,1265,1402,16.977,-0.00790389289167017,6.75440103166228e-06,531.932,TRUE,43463.994,137
"37","CM","residential","300","indoor","pm25",2104,2094,2136,3.893,-0.0127062860594582,2.89435916081506e-06,76.368,TRUE,43463.994,42
"38","CM","residential","300","indoor","pm25",2524,2416,2604,16.393,-0.0276911945214083,4.11931624846816e-06,454.594,TRUE,43463.994,188
"39","CM","residential","300","indoor","pm25",3368,3363,3388,10.191,-0.0575117258507423,9.1239124356898e-06,118.014,FALSE,47010.27,25
"40","CM","residential","300","indoor","pm25",3565,3545,3608,3.654,-0.0127994382862668,4.37265387738384e-08,108.63,TRUE,43463.994,63
"41","CM","residential","300","indoor","pm25",3853,3818,3897,23.001,-0.0367522863762908,2.77472629024493e-06,280.819,FALSE,47010.27,79
"42","CM","residential","300","indoor","pm25",3957,3927,4195,11.233,-0.00462422342710509,8.08263574112336e-06,1261.183,TRUE,43463.994,268
"43","CM","residential","300","indoor","pm25",4540,4499,4723,53.547,-0.0258630319285505,5.74752483392047e-06,2082.263,FALSE,47010.27,224
"44","CM","residential","300","indoor","pm25",4951,4799,5037,98.391,-0.0460229632546643,3.63192614673646e-06,1994.309,FALSE,47010.27,238
"45","CM","residential","300","indoor","pm25",5401,5383,5596,6.194,-0.00526173775649006,1.75454965696708e-07,693.137,TRUE,43463.994,213
"46","CM","residential","300","indoor","pm25",5638,5633,5667,9.668,-0.058847059151595,9.22294707401444e-07,139.126,TRUE,43463.994,34
"47","CM","residential","300","indoor","pm25",5954,5948,6066,60.103,-0.0261830802150555,3.67546069516135e-07,2492.801,FALSE,47010.27,118
"48","CM","residential","300","indoor","pm25",6292,6247,6637,7.984,-0.00230164617348251,6.57976036317213e-06,1678.704,TRUE,43463.994,390
"49","CM","residential","300","indoor","pm25",6424,6330,6516,21.486,-0.0190169411295706,2.59266539074339e-06,865.037,FALSE,47010.27,186
"50","CM","residential","300","indoor","pm25",7029,7022,7076,22.93,-0.0507462919103956,7.10860068568781e-07,367.914,TRUE,43463.994,54
"51","CM","residential","300","indoor","pm25",7902,7783,8086,12.149,-0.00678296649564579,1.75979496503984e-06,926.862,TRUE,43463.994,303
"52","CM","residential","300","indoor","pm25",9232,9228,9425,9.321,-0.00543176489231843,6.57439225004246e-07,800.34,TRUE,43463.994,197
"53","CM","residential","300","indoor","pm25",9411,9404,9439,10.653,-0.0307583022670684,1.46414328218564e-06,208.657,FALSE,47010.27,35
"54","CM","residential","300","indoor","pm25",9638,9572,9916,41.623,-0.0074504882324895,1.5529588600107e-06,3429.093,TRUE,43463.994,344
"55","CM","residential","300","indoor","pm25",10728,10640,11327,57.428,-0.00698582779487386,2.70184962494083e-06,6935.098,TRUE,43463.994,687
"56","CM","residential","300","indoor","pm25",10846,10827,10992,96.944,-0.0309376714877613,4.87542111744118e-06,3014.903,FALSE,47010.27,165
"57","CM","residential","300","indoor","pm25",11621,11574,11785,13.901,-0.00758901956000236,3.01559330081148e-06,1295.049,FALSE,47010.27,211
"58","CM","residential","300","indoor","pm25",11950,11945,11967,6.252,-0.0255554916274361,2.82344053434722e-06,75.092,FALSE,47010.27,22
"59","CM","residential","300","indoor","pm25",12126,12121,12188,4.87,0.000288300569266359,2.25665339510545e-06,186.494,TRUE,43463.994,67
"60","CM","residential","300","indoor","pm25",12744,12675,12821,9.345,-0.00611047860095416,2.22861359760213e-06,520.38,FALSE,47010.27,146
"61","CM","residential","300","indoor","pm25",13010,12985,13096,10.499,-0.00920703301084545,9.21812360910476e-07,546.028,FALSE,47010.27,111
"62","CM","residential","300","indoor","pm25",13277,13267,13427,51.902,-0.0130778306192727,3.77839279825864e-06,3305.028,FALSE,47010.27,160
"63","CM","residential","300","indoor","pm25",13974,13916,14110,6.921,-0.00779080446504956,2.70747782076252e-06,512.399,TRUE,43463.994,194
"64","CM","residential","300","indoor","pm25",14881,14861,15044,5.879,-0.00489929500353135,5.31212576762025e-06,487.998,TRUE,43463.994,183
"65","CM","residential","300","indoor","pm25",15501,15478,15606,8.791,-0.0167193192871003,4.65980137287663e-07,421.042,TRUE,43463.994,128
"66","CM","residential","300","indoor","pm25",16445,16421,16567,8.64,-0.0126176284590998,6.0178490578102e-08,521.425,TRUE,43463.994,146
"67","CM","residential","300","indoor","pm25",18096,18086,18117,5.155,-0.0558647657861052,2.19329108887651e-06,64.447,TRUE,43463.994,31
"68","CM","residential","300","indoor","pm25",19625,19517,19871,6.918,-0.0033857618025435,7.0451571283424e-07,856.89,TRUE,43463.994,354
"69","CM","residential","300","indoor","pm25",21276,21273,21295,9.429,-0.0944154235485545,3.12106064965928e-06,76.464,TRUE,43463.994,22
"70","CM","residential","300","indoor","pm25",22367,22362,22573,11.497,-0.00653205519402163,4.17695353829889e-06,1186.041,TRUE,43463.994,211
"71","CM","residential","300","indoor","pm10",827,821,904,143.817,-0.989826186757215,8.80965967379041e-06,938.138,TRUE,126972.941,83
