"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"1","300","indoor","pm1",FALSE,-0.0255817577467642,-0.0204204782801896,-0.0616647129820716,-0.00492750388347439,23.8662307692308,20.017,5.646,49.948,96.6153846153846,96,22,230,12042.791,13,26595.339
"2","300","indoor","pm1",TRUE,-0.0191563108153657,-0.006139218963569,-0.105122606273996,-0.00208044179323655,8.53865,6.621,3.262,40.712,180.4,143.5,21,681,14070.005,20,29634.653
"3","300","indoor","pm25",FALSE,-0.0252692529535322,-0.0257092617779933,-0.0575117258507423,-0.00611047860095416,38.7412857142857,22.2435,6.252,98.391,133.928571428571,150.5,22,238,20351.372,14,47010.27
"4","300","indoor","pm25",TRUE,-0.0180225130133627,-0.0074504882324895,-0.0944154235485545,0.000288300569266359,12.8387826086957,8.791,3.654,57.428,192.478260869565,183,22,687,22223.266,23,43463.994
"5","300","indoor","pm10",FALSE,-0.0481944250804905,-0.0378037739850165,-0.190325500648596,-0.00624728726909444,129.573916666667,60.424,15.427,986.04,97.4166666666667,79.5,23,245,52038.086,24,129036.749
"6","300","indoor","pm10",TRUE,-0.0783628140057633,-0.0324540369159092,-0.989826186757215,-0.00541693537168443,74.9539696969697,49.322,19.209,547.079,130.060606060606,83,22,536,53064.277,33,126972.941
"7","408","indoor","pm1",FALSE,-0.0112965822701901,-0.00587221074576728,-0.0480521536211084,-0.00075290256628942,23.3878461538462,16.636,5.095,49.958,353.384615384615,260,60,878,57907.851,26,111343.483
"8","408","indoor","pm1",TRUE,-0.0293215659448799,-0.0269667137511842,-0.0667434982836038,-0.00328986223687042,20.8676956521739,10.138,3.138,49.589,174.260869565217,103,28,951,16168.004,23,43213.434
"9","408","indoor","pm25",FALSE,-0.0130896486891265,-0.0124481642125669,-0.0443910571148375,-0.000877321225953678,30.4306666666667,23.946,6.322,79.182,338.814814814815,358,60,725,65970.794,27,130612.026
"10","408","indoor","pm25",TRUE,-0.029592017201787,-0.0301069756884764,-0.0632448232114757,-0.00426271346667304,27.33732,16.201,3.648,96.646,188.88,116,23,951,21415.78,25,55001.1
"11","408","indoor","pm10",FALSE,-0.0341955586101319,-0.0242573578344206,-0.121093513682746,-0.000198806104748094,129.974085714286,67.595,11.698,695.812,213.942857142857,118,22,618,133730.857,35,257803.688
"12","408","indoor","pm10",TRUE,-0.0564731821685495,-0.0540051075810616,-0.256309059859795,0.00143375843384923,97.7588378378378,46.565,18.098,560.483,127.648648648649,84,21,473,68298.746,37,168175.029
"13","502","indoor","pm1",FALSE,-0.00415528151832911,-0.00137971097635603,-0.0395717521105199,-0.000181565670375863,15.9474444444444,12.9,5.598,44.024,849.666666666667,841.5,40,2348,82742.051,18,129763.832
"14","502","indoor","pm1",TRUE,-0.0293309980892522,-0.0125025987547092,-0.109951341993853,-0.00110301490038877,15.447875,8.6495,3.521,49.142,595.8125,166,83,2904,12986.825,16,47353.951
"15","502","indoor","pm25",FALSE,-0.00430243607312206,-0.00233655740408135,-0.014862187013734,-0.000149228047150307,16.9362608695652,14.616,6.255,48.85,631.695652173913,755,45,1370,85538.893,23,144477.93
