"","deployment","room","participant_id","environment","pm","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","total_pm","peak_width"
"1","IB","residential","502","indoor","pm1",31,24,41,7.512,-0.0492943755988482,2.10589808542158e-07,61.973,TRUE,43597.721,17
"2","IB","residential","502","indoor","pm1",378,296,434,19.47,-0.00467389825163325,1.13299093067586e-06,879.301,FALSE,99903.081,138
"3","IB","residential","502","indoor","pm1",1696,1695,1706,10.867,0.0115562737067684,3.20219714137375e-06,86.207,FALSE,99903.081,11
"4","IB","residential","502","indoor","pm1",2146,2142,2191,62.654,-0.0629866953195539,4.23099491994735e-06,872.415,TRUE,43597.721,49
"5","IB","residential","502","indoor","pm1",3181,3163,3192,12.279,-0.0498539497693179,8.62234959348726e-07,97.787,TRUE,43597.721,29
"6","IB","residential","502","indoor","pm1",3226,3197,3393,49.938,-0.00522287632287715,1.58868575060549e-06,4118.6,FALSE,99903.081,196
"7","IB","residential","502","indoor","pm1",4431,4425,4458,16.493,-0.00089380197985988,6.67943791558065e-07,386.125,FALSE,99903.081,33
"8","IB","residential","502","indoor","pm1",5301,5280,5356,19.434,-0.0063047607505804,1.05178090337838e-06,831.26,FALSE,99903.081,76
"9","IB","residential","502","indoor","pm1",5434,5428,5445,8.078,-0.0253119905588473,7.87314707040203e-06,79.262,TRUE,43597.721,17
"10","IB","residential","502","indoor","pm1",5823,5819,5833,10.761,-0.0487398661671047,4.86476105032804e-06,86.749,TRUE,43597.721,14
"11","IB","residential","502","indoor","pm1",6086,5897,6196,27.009,-0.00406981568966511,3.21083678175997e-06,2182.503,FALSE,99903.081,299
"12","IB","residential","502","indoor","pm1",6367,6366,6378,12.214,0.00415320299897974,2.90135333666282e-06,73.87,FALSE,99903.081,12
"13","IB","residential","502","indoor","pm1",8623,8594,8945,62.883,-0.00530280141475055,4.64327691524024e-06,8407.033,FALSE,99903.081,351
"14","IB","residential","502","indoor","pm1",9163,9161,9173,11.442,-0.0110364049061625,7.59924615194174e-08,113.59,FALSE,99903.081,12
"15","IB","residential","502","indoor","pm1",10075,10040,10108,14.954,-0.00557925120414207,7.04580644072298e-06,425.717,FALSE,99903.081,68
"16","IB","residential","502","indoor","pm1",10471,10469,10481,10.02,-0.0909313767227785,3.7696958975493e-06,72.425,TRUE,43597.721,12
"17","IB","residential","502","indoor","pm1",10929,10928,10941,7.227,-0.0353171993086177,7.70288367296364e-07,75.852,TRUE,43597.721,13
"18","IB","residential","502","indoor","pm1",11089,11076,11199,19.593,-0.00356994308066726,1.86674188281549e-06,1576.21,FALSE,99903.081,123
"19","IB","residential","502","indoor","pm1",11316,11288,11413,30.472,-0.00959508975984339,1.58184749005377e-06,1710.167,FALSE,99903.081,125
"20","IB","residential","502","indoor","pm1",11903,11862,11945,18.734,-0.0235884178598789,5.41007503910088e-06,519.053,TRUE,43597.721,83
"21","IB","residential","502","indoor","pm1",12238,12225,12249,12.293,-0.0615364738726248,8.13878431155384e-07,92.147,TRUE,43597.721,24
"22","IB","residential","502","indoor","pm1",12463,12460,12476,12.669,-0.0746494754212689,7.38976377495643e-06,122.007,TRUE,43597.721,16
"23","IB","residential","502","indoor","pm1",12499,12469,12584,15.463,-0.00370777741927547,3.21807785000357e-09,1138.377,FALSE,99903.081,115
"24","IB","residential","502","indoor","pm1",12704,12667,12747,16.314,-0.00467461913160772,8.27183094235004e-07,565.425,FALSE,99903.081,80
"25","IB","residential","502","indoor","pm1",12759,12758,12769,7.077,-0.0152358323655406,9.22972741355107e-06,61.069,TRUE,43597.721,11
